Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
19765700.000000,AAPL,144.770004,144.889999,143.169998,2017-04-04,144.770004,143.250000,
19985700.000000,AAPL,143.699997,144.119995,143.050003,2017-04-03,143.699997,143.710007,
19661700.000000,AAPL,143.660004,144.270004,143.009995,2017-03-31,143.660004,143.720001,
21207300.000000,AAPL,143.929993,144.500000,143.500000,2017-03-30,143.929993,144.190002,
29190000.000000,AAPL,144.119995,144.490005,143.190002,2017-03-29,144.119995,143.679993,
33374800.000000,AAPL,143.800003,144.039993,140.619995,2017-03-28,143.800003,140.910004,
23575100.000000,AAPL,140.880005,141.220001,138.619995,2017-03-27,140.880005,139.389999,
22395600.000000,AAPL,140.639999,141.740005,140.350006,2017-03-24,140.639999,141.500000,
20346300.000000,AAPL,140.919998,141.580002,140.610001,2017-03-23,140.919998,141.259995,
25860200.000000,AAPL,141.419998,141.600006,139.759995,2017-03-22,141.419998,139.850006,
39529900.000000,AAPL,139.839996,142.800003,139.729996,2017-03-21,139.839996,142.110001,
21542000.000000,AAPL,141.460007,141.500000,140.229996,2017-03-20,141.460007,140.399994,
43885000.000000,AAPL,139.990005,141.000000,139.889999,2017-03-17,139.990005,141.000000,
19232000.000000,AAPL,140.690002,141.020004,140.259995,2017-03-16,140.690002,140.720001,
25691800.000000,AAPL,140.460007,140.750000,139.029999,2017-03-15,140.460007,139.410004,
15309100.000000,AAPL,138.990005,139.649994,138.839996,2017-03-14,138.990005,139.300003,
17421700.000000,AAPL,139.199997,139.429993,138.820007,2017-03-13,139.199997,138.850006,
19612800.000000,AAPL,139.139999,139.360001,138.639999,2017-03-10,139.139999,139.250000,
22155900.000000,AAPL,138.679993,138.789993,137.050003,2017-03-09,138.679993,138.740005,
18707200.000000,AAPL,139.000000,139.800003,138.820007,2017-03-08,139.000000,138.949997,
17446300.000000,AAPL,139.520004,139.979996,138.789993,2017-03-07,139.520004,139.059998,
21750000.000000,AAPL,139.339996,139.770004,138.600006,2017-03-06,139.339996,139.369995,
21108100.000000,AAPL,139.779999,139.830002,138.589996,2017-03-03,139.779999,138.779999,
26211000.000000,AAPL,138.960007,140.279999,138.759995,2017-03-02,138.960007,140.000000,
36414600.000000,AAPL,139.789993,140.149994,137.600006,2017-03-01,139.789993,137.889999,
23482900.000000,AAPL,136.990005,137.440002,136.699997,2017-02-28,136.990005,137.080002,
20257400.000000,AAPL,136.929993,137.440002,136.279999,2017-02-27,136.929993,137.139999,
21776600.000000,AAPL,136.660004,136.660004,135.279999,2017-02-24,136.660004,135.910004,
20788200.000000,AAPL,136.529999,137.479996,136.300003,2017-02-23,136.529999,137.380005,
20836900.000000,AAPL,137.110001,137.119995,136.110001,2017-02-22,137.110001,136.429993,
24507200.000000,AAPL,136.699997,136.750000,135.979996,2017-02-21,136.699997,136.229996,
22198200.000000,AAPL,135.720001,135.830002,135.100006,2017-02-17,135.720001,135.100006,
22584600.000000,AAPL,135.350006,135.899994,134.839996,2017-02-16,135.350006,135.669998,
35623100.000000,AAPL,135.509995,136.270004,134.619995,2017-02-15,135.509995,135.520004,
33226200.000000,AAPL,135.020004,135.089996,133.250000,2017-02-14,135.020004,133.470001,
23035400.000000,AAPL,133.289993,133.820007,132.750000,2017-02-13,133.289993,133.080002,
20065500.000000,AAPL,132.119995,132.940002,132.050003,2017-02-10,132.119995,132.460007,
28349900.000000,AAPL,132.419998,132.449997,131.119995,2017-02-09,132.419998,131.649994,
23004100.000000,AAPL,131.469994,132.220001,131.220001,2017-02-08,132.039993,131.350006,
38183800.000000,AAPL,130.962201,132.089996,130.449997,2017-02-07,131.529999,130.539993,
26845900.000000,AAPL,129.727549,130.500000,128.899994,2017-02-06,130.289993,129.130005,
24507300.000000,AAPL,128.522781,129.190002,128.160004,2017-02-03,129.080002,128.309998,
33710400.000000,AAPL,127.975152,129.389999,127.779999,2017-02-02,128.529999,127.980003,
111985000.000000,AAPL,128.194203,130.490005,127.010002,2017-02-01,128.750000,127.029999,
49201000.000000,AAPL,120.826147,121.389999,120.620003,2017-01-31,121.349998,121.150002,
30377500.000000,AAPL,121.104937,121.629997,120.660004,2017-01-30,121.629997,120.930000,
20562900.000000,AAPL,121.423555,122.349998,121.599998,2017-01-27,121.949997,122.139999,
26337600.000000,AAPL,121.413604,122.440002,121.599998,2017-01-26,121.940002,121.669998,
32377600.000000,AAPL,121.353858,122.099998,120.279999,2017-01-25,121.879997,120.419998,
23211000.000000,AAPL,119.452107,120.099998,119.500000,2017-01-24,119.970001,119.550003,
22050200.000000,AAPL,119.561633,120.809998,119.769997,2017-01-23,120.080002,120.000000,
32597900.000000,AAPL,119.481976,120.449997,119.730003,2017-01-20,120.000000,120.449997,
25597300.000000,AAPL,119.262925,120.089996,119.370003,2017-01-19,119.779999,119.400002,
23713000.000000,AAPL,119.472017,120.500000,119.709999,2017-01-18,119.989998,120.000000,
34439800.000000,AAPL,119.481976,120.239998,118.220001,2017-01-17,120.000000,118.339996,
26111900.000000,AAPL,118.526121,119.620003,118.809998,2017-01-13,119.040001,119.110001,
27086200.000000,AAPL,118.735214,119.300003,118.209999,2017-01-12,119.250000,118.900002,
27588600.000000,AAPL,119.233055,119.930000,118.599998,2017-01-11,119.750000,118.739998,
24462100.000000,AAPL,118.595819,119.379997,118.300003,2017-01-10,119.110001,118.769997,
33561900.000000,AAPL,118.476334,119.430000,117.940002,2017-01-09,118.989998,117.949997,
31751900.000000,AAPL,117.401002,118.160004,116.470001,2017-01-06,117.910004,116.779999,
22193600.000000,AAPL,116.106611,116.860001,115.809998,2017-01-05,116.610001,115.919998,
21118100.000000,AAPL,115.519154,116.510002,115.750000,2017-01-04,116.019997,115.849998,
28781900.000000,AAPL,115.648597,116.330002,114.760002,2017-01-03,116.150002,115.800003,
30586300.000000,AAPL,115.320020,117.199997,115.430000,2016-12-30,115.820000,116.650002,
15039500.000000,AAPL,116.226096,117.110001,116.400002,2016-12-29,116.730003,116.449997,
20905900.000000,AAPL,116.255965,118.019997,116.199997,2016-12-28,116.760002,117.519997,
18296900.000000,AAPL,116.753806,117.800003,116.489998,2016-12-27,117.260002,116.519997,
14181200.000000,AAPL,116.016995,116.519997,115.589996,2016-12-23,116.519997,115.589996,
26085900.000000,AAPL,115.787993,116.510002,115.639999,2016-12-22,116.290001,116.349998,
23783200.000000,AAPL,116.554665,117.400002,116.779999,2016-12-21,117.059998,116.800003,
21425000.000000,AAPL,116.445139,117.500000,116.680000,2016-12-20,116.949997,116.739998,
27779400.000000,AAPL,116.136480,117.379997,115.750000,2016-12-19,116.639999,115.800003,
44351100.000000,AAPL,115.469374,116.500000,115.650002,2016-12-16,115.970001,116.470001,
46524500.000000,AAPL,115.320020,116.730003,115.230003,2016-12-15,115.820000,115.379997,
34031800.000000,AAPL,114.692743,116.199997,114.980003,2016-12-14,115.190002,115.040001,
43733800.000000,AAPL,114.692743,115.919998,113.750000,2016-12-13,115.190002,113.839996,
26374400.000000,AAPL,112.810902,115.000000,112.489998,2016-12-12,113.300003,113.290001,
34402600.000000,AAPL,113.458090,114.699997,112.309998,2016-12-09,113.949997,112.309998,
27068300.000000,AAPL,111.635996,112.430000,110.599998,2016-12-08,112.120003,110.860001,
29998700.000000,AAPL,110.550697,111.190002,109.160004,2016-12-07,111.029999,109.260002,
26195500.000000,AAPL,109.475358,110.360001,109.190002,2016-12-06,109.949997,109.500000,
34324500.000000,AAPL,108.638987,110.029999,108.250000,2016-12-05,109.110001,110.000000,
26528000.000000,AAPL,109.425578,110.089996,108.849998,2016-12-02,109.900002,109.169998,
37086900.000000,AAPL,109.017344,110.940002,109.029999,2016-12-01,109.489998,110.370003,
36162300.000000,AAPL,110.042897,112.199997,110.269997,2016-11-30,110.519997,111.599998,
28528800.000000,AAPL,110.978841,112.029999,110.070000,2016-11-29,111.459999,110.779999,
27194000.000000,AAPL,111.088367,112.470001,111.389999,2016-11-28,111.570000,111.430000,
11475900.000000,AAPL,111.307418,111.870003,110.949997,2016-11-25,111.790001,111.129997,
27426400.000000,AAPL,110.749838,111.510002,110.330002,2016-11-23,111.230003,111.360001,
25965500.000000,AAPL,111.317377,112.419998,111.400002,2016-11-22,111.800003,111.949997,
29264600.000000,AAPL,111.247680,111.989998,110.010002,2016-11-21,111.730003,110.120003,
28428900.000000,AAPL,109.584883,110.540001,109.660004,2016-11-18,110.059998,109.720001,
27632000.000000,AAPL,109.475358,110.349998,108.830002,2016-11-17,109.949997,109.809998,
