Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
2563700.000000,AXP,77.940002,78.610001,78.150002,2017-04-04,78.260002,78.489998,
3022700.000000,AXP,78.268647,79.180000,77.970001,2017-04-03,78.589996,79.169998,
5228400.000000,AXP,78.786525,79.430000,78.800003,2017-03-31,79.110001,78.930000,
2924100.000000,AXP,78.886114,79.300003,78.089996,2017-03-30,79.209999,78.199997,
2913600.000000,AXP,77.930041,79.339996,78.139999,2017-03-29,78.250000,78.449997,
4235900.000000,AXP,78.318445,78.860001,77.389999,2017-03-28,78.639999,77.510002,
3835300.000000,AXP,77.282697,77.820000,76.669998,2017-03-27,77.599998,77.209999,
4726800.000000,AXP,77.880242,78.839996,77.870003,2017-03-24,78.199997,78.110001,
4082900.000000,AXP,77.521713,78.400002,77.510002,2017-03-23,77.839996,77.570000,
4877300.000000,AXP,77.352410,78.180000,77.059998,2017-03-22,77.669998,77.430000,
6804000.000000,AXP,77.212983,79.129997,77.320000,2017-03-21,77.529999,78.930000,
3099500.000000,AXP,78.527586,79.599998,78.830002,2017-03-20,78.849998,79.150002,
6672600.000000,AXP,78.925952,79.959999,78.980003,2017-03-17,79.250000,79.919998,
3474800.000000,AXP,79.443822,80.099998,79.389999,2017-03-16,79.769997,79.470001,
4337200.000000,AXP,78.906037,79.889999,78.989998,2017-03-15,79.230003,79.849998,
3321400.000000,AXP,79.364155,79.800003,78.830002,2017-03-14,79.690002,78.959999,
3664300.000000,AXP,78.886114,79.540001,79.059998,2017-03-13,79.209999,79.379997,
3762800.000000,AXP,79.055417,79.459999,78.879997,2017-03-10,79.379997,79.379997,
4573500.000000,AXP,78.975750,79.699997,78.809998,2017-03-09,79.300003,79.190002,
4326800.000000,AXP,78.716811,80.370003,78.970001,2017-03-08,79.040001,80.000000,
4433500.000000,AXP,79.254604,80.019997,79.330002,2017-03-07,79.580002,79.769997,
3670300.000000,AXP,79.174929,79.680000,79.089996,2017-03-06,79.500000,79.500000,
4579600.000000,AXP,79.553373,80.660004,79.820000,2017-03-03,79.879997,80.099998,
4409800.000000,AXP,79.772475,81.660004,80.059998,2017-03-02,80.099998,81.660004,
4746400.000000,AXP,81.585032,82.000000,81.019997,2017-03-01,81.919998,81.050003,
4415300.000000,AXP,79.732637,80.489998,79.769997,2017-02-28,80.059998,80.120003,
2619400.000000,AXP,79.842188,80.309998,79.589996,2017-02-27,80.169998,79.750000,
3932300.000000,AXP,79.433868,79.889999,79.260002,2017-02-24,79.760002,79.760002,
3339500.000000,AXP,79.722684,80.449997,79.769997,2017-02-23,80.050003,79.870003,
2943000.000000,AXP,79.533458,79.970001,79.389999,2017-02-22,79.860001,79.830002,
3505500.000000,AXP,79.643009,80.449997,79.639999,2017-02-21,79.970001,79.919998,
2690300.000000,AXP,79.384070,79.779999,78.900002,2017-02-17,79.709999,79.220001,
4295000.000000,AXP,79.184891,79.599998,78.919998,2017-02-16,79.510002,79.459999,
5704100.000000,AXP,79.274519,80.099998,78.669998,2017-02-15,79.599998,79.790001,
3511200.000000,AXP,79.085301,79.449997,78.669998,2017-02-14,79.410004,79.000000,
3317100.000000,AXP,78.587346,79.180000,78.480003,2017-02-13,78.910004,78.820000,
2191200.000000,AXP,78.159103,78.690002,78.230003,2017-02-10,78.480003,78.500000,
