Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
2319200.000000,BA,178.699997,178.789993,176.759995,2017-04-04,178.699997,176.880005,
2933600.000000,BA,176.649994,177.729996,175.500000,2017-04-03,176.649994,177.080002,
2030400.000000,BA,176.860001,178.179993,176.809998,2017-03-31,176.860001,178.020004,
1627000.000000,BA,177.979996,178.490005,177.220001,2017-03-30,177.979996,177.250000,
1629300.000000,BA,177.630005,177.990005,176.970001,2017-03-29,177.630005,177.399994,
2231400.000000,BA,177.360001,177.679993,175.000000,2017-03-28,177.360001,176.289993,
2743800.000000,BA,176.100006,176.440002,173.750000,2017-03-27,176.100006,174.369995,
2368000.000000,BA,175.820007,177.529999,174.770004,2017-03-24,175.820007,176.850006,
1999000.000000,BA,177.259995,177.850006,176.589996,2017-03-23,177.259995,177.339996,
2378500.000000,BA,176.979996,177.100006,175.500000,2017-03-22,176.979996,175.960007,
3192200.000000,BA,175.960007,180.250000,175.500000,2017-03-21,175.960007,179.990005,
1927800.000000,BA,179.389999,180.149994,179.139999,2017-03-20,179.389999,180.100006,
4835200.000000,BA,180.100006,180.380005,178.169998,2017-03-17,180.100006,178.309998,
3075500.000000,BA,178.190002,180.000000,177.639999,2017-03-16,178.190002,179.820007,
3468900.000000,BA,178.710007,179.240005,177.970001,2017-03-15,178.710007,179.000000,
2345700.000000,BA,178.729996,179.690002,177.710007,2017-03-14,178.729996,178.539993,
3328100.000000,BA,179.050003,179.190002,177.070007,2017-03-13,179.050003,177.160004,
4446700.000000,BA,178.699997,181.970001,177.919998,2017-03-10,178.699997,181.899994,
3098000.000000,BA,180.570007,182.589996,179.580002,2017-03-09,180.570007,181.429993,
2265900.000000,BA,181.740005,182.690002,181.490005,2017-03-08,181.740005,182.399994,
2415600.000000,BA,182.020004,182.839996,180.619995,2017-03-07,182.020004,180.639999,
4235000.000000,BA,180.929993,182.300003,180.429993,2017-03-06,180.929993,181.399994,
3917500.000000,BA,182.179993,183.580002,181.449997,2017-03-03,182.179993,182.990005,
4902000.000000,BA,182.990005,185.710007,182.970001,2017-03-02,182.990005,184.000000,
5350700.000000,BA,183.910004,184.800003,181.820007,2017-03-01,183.910004,181.850006,
4761700.000000,BA,180.229996,181.929993,179.669998,2017-02-28,180.229996,180.339996,
2831000.000000,BA,179.429993,179.880005,177.550003,2017-02-27,179.429993,178.000000,
4169900.000000,BA,177.440002,178.800003,176.100006,2017-02-24,177.440002,176.750000,
3442300.000000,BA,176.860001,177.000000,175.699997,2017-02-23,176.860001,175.970001,
2827500.000000,BA,175.360001,175.750000,174.009995,2017-02-22,175.360001,174.979996,
4029200.000000,BA,175.559998,176.169998,173.679993,2017-02-21,175.559998,173.919998,
4878900.000000,BA,172.710007,173.250000,170.399994,2017-02-17,172.710007,170.410004,
3057200.000000,BA,170.809998,170.809998,168.750000,2017-02-16,170.809998,169.740005,
4005000.000000,BA,169.300003,169.949997,168.350006,2017-02-15,169.300003,168.419998,
2579300.000000,BA,168.500000,168.800003,167.220001,2017-02-14,168.500000,167.699997,
3765000.000000,BA,168.029999,169.070007,166.350006,2017-02-13,168.029999,166.449997,
2689700.000000,BA,166.229996,166.449997,164.470001,2017-02-10,166.229996,165.250000,
3451100.000000,BA,164.279999,165.089996,164.059998,2017-02-09,164.279999,164.669998,
3041600.000000,BA,163.809998,165.240005,163.690002,2017-02-08,163.809998,165.000000,
4243200.000000,BA,165.080000,167.419998,164.869995,2017-02-07,166.500000,165.000000,
3110500.000000,BA,162.581487,164.080002,162.380005,2017-02-06,163.979996,162.419998,
2981700.000000,BA,161.014961,163.559998,162.309998,2017-02-03,162.399994,162.990005,
3791700.000000,BA,160.876155,163.970001,160.820007,2017-02-02,162.259995,163.220001,
3138000.000000,BA,162.571578,165.809998,163.119995,2017-02-01,163.970001,164.250000,
5350700.000000,BA,162.026266,165.100006,163.220001,2017-01-31,163.419998,164.960007,
5456300.000000,BA,164.157938,165.990005,163.820007,2017-01-30,165.570007,165.919998,
4883200.000000,BA,166.269762,169.800003,167.009995,2017-01-27,167.699997,169.210007,
5436800.000000,BA,167.677650,170.000000,167.250000,2017-01-26,169.119995,167.250000,
7480000.000000,BA,165.932666,168.649994,163.240005,2017-01-25,167.360001,163.589996,
3927500.000000,BA,159.180747,160.929993,157.839996,2017-01-24,160.550003,158.580002,
3931200.000000,BA,156.493853,159.500000,157.289993,2017-01-23,157.839996,158.940002,
3384500.000000,BA,158.169442,160.300003,158.229996,2017-01-20,159.529999,159.809998,
3144000.000000,BA,157.643964,159.869995,157.910004,2017-01-19,159.000000,158.869995,
2087000.000000,BA,156.969770,159.050003,156.750000,2017-01-18,158.320007,157.550003,
2758800.000000,BA,156.325305,159.039993,157.229996,2017-01-17,157.669998,158.199997,
2435400.000000,BA,157.475415,159.580002,158.339996,2017-01-13,158.830002,158.740005,
3020500.000000,BA,156.940012,159.160004,156.669998,2017-01-12,158.289993,159.149994,
2416500.000000,BA,158.040546,159.699997,158.279999,2017-01-11,159.399994,159.539993,
2988300.000000,BA,157.713374,159.940002,158.570007,2017-01-10,159.070007,158.960007,
2819400.000000,BA,156.969770,159.240005,158.169998,2017-01-09,158.320007,159.000000,
2426000.000000,BA,157.743117,159.660004,157.889999,2017-01-06,159.100006,158.979996,
