Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
5789900.000000,CAT,94.129997,94.779999,93.059998,2017-04-04,94.129997,93.889999,
3685800.000000,CAT,92.269997,92.839996,91.000000,2017-04-03,92.269997,92.430000,
4014000.000000,CAT,92.760002,93.239998,92.019997,2017-03-31,92.760002,92.629997,
3654600.000000,CAT,93.220001,93.370003,92.400002,2017-03-30,93.220001,92.980003,
2499900.000000,CAT,92.860001,93.250000,92.400002,2017-03-29,92.860001,92.760002,
3857600.000000,CAT,92.949997,93.160004,91.510002,2017-03-28,92.949997,91.559998,
3420000.000000,CAT,91.510002,91.970001,90.339996,2017-03-27,91.510002,90.900002,
3616500.000000,CAT,92.150002,93.239998,91.559998,2017-03-24,92.150002,92.239998,
2585700.000000,CAT,92.230003,93.000000,91.959999,2017-03-23,92.230003,92.449997,
5032400.000000,CAT,92.430000,93.129997,91.720001,2017-03-22,92.430000,92.000000,
7694900.000000,CAT,92.430000,95.389999,92.089996,2017-03-21,92.430000,95.379997,
6435200.000000,CAT,95.400002,95.480003,92.889999,2017-03-20,95.400002,93.129997,
7023000.000000,CAT,92.910004,93.320000,92.650002,2017-03-17,92.910004,92.989998,
3679200.000000,CAT,92.849998,94.089996,92.639999,2017-03-16,92.849998,93.970001,
5665900.000000,CAT,93.360001,93.790001,92.059998,2017-03-15,93.360001,92.370003,
5777400.000000,CAT,91.860001,92.000000,90.620003,2017-03-14,91.860001,91.220001,
4184800.000000,CAT,92.639999,93.529999,92.260002,2017-03-13,92.639999,93.330002,
7163000.000000,CAT,92.309998,93.099998,90.809998,2017-03-10,92.309998,91.889999,
9259400.000000,CAT,91.389999,93.220001,90.410004,2017-03-09,91.389999,92.449997,
9319000.000000,CAT,93.230003,95.480003,92.860001,2017-03-08,93.230003,94.099998,
4655800.000000,CAT,95.930000,96.230003,94.760002,2017-03-07,95.930000,95.650002,
4702400.000000,CAT,95.660004,95.940002,94.099998,2017-03-06,95.660004,94.320000,
8163300.000000,CAT,95.120003,95.900002,94.209999,2017-03-03,95.120003,94.360001,
23020400.000000,CAT,94.360001,98.730003,92.839996,2017-03-02,94.360001,98.489998,
5532100.000000,CAT,98.580002,98.970001,97.430000,2017-03-01,98.580002,98.199997,
3943400.000000,CAT,96.660004,97.599998,96.440002,2017-02-28,96.660004,97.239998,
5434400.000000,CAT,97.440002,97.519997,95.120003,2017-02-27,97.440002,95.480003,
4990900.000000,CAT,95.480003,95.500000,93.500000,2017-02-24,95.480003,94.860001,
6005200.000000,CAT,95.550003,98.500000,95.120003,2017-02-23,95.550003,98.440002,
3023600.000000,CAT,98.199997,98.730003,97.620003,2017-02-22,98.199997,98.040001,
3740900.000000,CAT,98.099998,99.199997,97.919998,2017-02-21,98.099998,98.870003,
3629400.000000,CAT,98.849998,98.949997,97.540001,2017-02-17,98.849998,98.070000,
3059300.000000,CAT,98.260002,99.070000,97.800003,2017-02-16,98.260002,99.050003,
4271600.000000,CAT,99.019997,99.019997,98.000000,2017-02-15,99.019997,98.110001,
4334700.000000,CAT,98.089996,98.739998,97.260002,2017-02-14,98.089996,98.290001,
6995100.000000,CAT,98.500000,99.050003,97.160004,2017-02-13,98.500000,97.690002,
5600200.000000,CAT,96.309998,96.620003,94.500000,2017-02-10,96.309998,94.870003,
3994300.000000,CAT,93.959999,94.180000,92.690002,2017-02-09,93.959999,93.059998,
4083500.000000,CAT,92.910004,93.000000,92.110001,2017-02-08,92.910004,93.000000,
4995600.000000,CAT,93.309998,94.919998,93.019997,2017-02-07,93.309998,94.320000,
4621300.000000,CAT,92.870003,93.120003,92.430000,2017-02-06,92.870003,92.809998,
4677900.000000,CAT,93.279999,94.449997,92.809998,2017-02-03,93.279999,94.320000,
3807500.000000,CAT,93.769997,95.129997,93.500000,2017-02-02,93.769997,94.769997,
3582500.000000,CAT,95.110001,96.519997,94.400002,2017-02-01,95.110001,95.809998,
5724700.000000,CAT,95.660004,96.629997,94.589996,2017-01-31,95.660004,96.589996,
5221800.000000,CAT,96.790001,98.589996,96.570000,2017-01-30,96.790001,98.400002,
6371400.000000,CAT,98.989998,99.459999,97.500000,2017-01-27,98.989998,97.690002,
9097300.000000,CAT,97.220001,98.980003,96.019997,2017-01-26,97.220001,98.449997,
7557900.000000,CAT,98.150002,98.589996,97.320000,2017-01-25,98.150002,97.820000,
5768200.000000,CAT,96.239998,96.730003,94.800003,2017-01-24,96.239998,95.019997,
3254900.000000,CAT,94.459999,94.739998,93.559998,2017-01-23,94.459999,94.599998,
5045200.000000,CAT,94.580002,95.000000,93.620003,2017-01-20,94.580002,94.010002,
