Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
18602600.000000,CSCO,33.410000,33.419998,32.930000,2017-04-04,33.410000,33.250000,
19367800.000000,CSCO,33.290001,33.939999,33.459999,2017-04-03,33.580002,33.700001,
14038500.000000,CSCO,33.508098,33.880001,33.660000,2017-03-31,33.799999,33.720001,
12801600.000000,CSCO,33.448619,33.930000,33.720001,2017-03-30,33.740002,33.799999,
16504100.000000,CSCO,33.448619,34.049999,33.650002,2017-03-29,33.740002,34.000000,
21179300.000000,CSCO,33.726200,34.209999,33.820000,2017-03-28,34.020000,33.900002,
17740600.000000,CSCO,33.696460,34.029999,33.750000,2017-03-27,33.990002,33.820000,
18125100.000000,CSCO,33.785683,34.299999,33.950001,2017-03-24,34.080002,34.070000,
16709300.000000,CSCO,33.666717,34.259998,33.910000,2017-03-23,33.959999,34.080002,
16646100.000000,CSCO,33.805507,34.200001,33.779999,2017-03-22,34.099998,33.779999,
21406000.000000,CSCO,33.587409,34.470001,33.779999,2017-03-21,33.880001,34.450001,
14974100.000000,CSCO,33.983953,34.389999,34.200001,2017-03-20,34.279999,34.200001,
26787200.000000,CSCO,33.934385,34.380001,34.189999,2017-03-17,34.230000,34.349998,
14521600.000000,CSCO,33.934385,34.480000,34.099998,2017-03-16,34.230000,34.250000,
14961700.000000,CSCO,33.944301,34.349998,34.049999,2017-03-15,34.240002,34.070000,
14578400.000000,CSCO,33.825335,34.139999,33.840000,2017-03-14,34.119999,33.939999,
16164800.000000,CSCO,33.805507,34.330002,34.000000,2017-03-13,34.099998,34.220001,
19038400.000000,CSCO,33.964125,34.299999,34.080002,2017-03-10,34.259998,34.240002,
17490200.000000,CSCO,33.775767,34.110001,33.869999,2017-03-09,34.070000,34.040001,
18686700.000000,CSCO,33.726200,34.230000,33.930000,2017-03-08,34.020000,34.180000,
21033700.000000,CSCO,33.904646,34.250000,33.990002,2017-03-07,34.200001,34.000000,
17605100.000000,CSCO,33.894730,34.279999,33.959999,2017-03-06,34.189999,34.040001,
14175000.000000,CSCO,33.993868,34.439999,34.230000,2017-03-03,34.290001,34.419998,
16137700.000000,CSCO,34.093003,34.529999,34.209999,2017-03-02,34.389999,34.410000,
22754200.000000,CSCO,34.142571,34.509998,34.180000,2017-03-01,34.439999,34.279999,
23093100.000000,CSCO,33.884818,34.290001,34.040001,2017-02-28,34.180000,34.160000,
15625400.000000,CSCO,33.964125,34.320000,34.119999,2017-02-27,34.259998,34.209999,
21137300.000000,CSCO,34.023608,34.320000,33.799999,2017-02-24,34.320000,33.980000,
17450100.000000,CSCO,33.746027,34.279999,33.950001,2017-02-23,34.040001,34.279999,
26632700.000000,CSCO,33.795595,34.150002,33.660000,2017-02-22,34.090000,34.040001,
26992700.000000,CSCO,33.835250,34.209999,33.660000,2017-02-21,34.130001,33.689999,
31841200.000000,CSCO,33.448619,33.770000,33.430000,2017-02-17,33.740002,33.520000,
50143700.000000,CSCO,33.309825,33.970001,33.250000,2017-02-16,33.599998,33.259998,
41169400.000000,CSCO,32.536562,32.840000,32.290001,2017-02-15,32.820000,32.349998,
31463500.000000,CSCO,32.030968,32.310001,31.770000,2017-02-14,32.310001,31.900000,
26518800.000000,CSCO,31.693903,32.000000,31.549999,2017-02-13,31.969999,31.670000,
21557700.000000,CSCO,31.237876,31.629999,31.240000,2017-02-10,31.510000,31.480000,
18706900.000000,CSCO,31.227962,31.690001,31.299999,2017-02-09,31.500000,31.350000,
20434300.000000,CSCO,30.999949,31.549999,31.250000,2017-02-08,31.270000,31.459999,
18420200.000000,CSCO,31.178395,31.639999,31.330000,2017-02-07,31.450001,31.379999,
16774200.000000,CSCO,31.029689,31.309999,31.120001,2017-02-06,31.299999,31.290001,
21288800.000000,CSCO,31.049517,31.350000,31.120001,2017-02-03,31.320000,31.270000,
27456700.000000,CSCO,30.910726,31.260000,30.530001,2017-02-02,31.180000,30.690001,
19504600.000000,CSCO,30.236598,30.850000,30.420000,2017-02-01,30.500000,30.850000,
16603100.000000,CSCO,30.454698,30.889999,30.580000,2017-01-31,30.719999,30.680000,
15481800.000000,CSCO,30.563748,31.000000,30.629999,2017-01-30,30.830000,30.940001,
18461900.000000,CSCO,30.712453,30.980000,30.629999,2017-01-27,30.980000,30.760000,
20116800.000000,CSCO,30.474526,30.840000,30.559999,2017-01-26,30.740000,30.760000,
23630500.000000,CSCO,30.434872,31.049999,30.650000,2017-01-25,30.700001,31.040001,
24934200.000000,CSCO,30.335735,30.750000,30.290001,2017-01-24,30.600000,30.340000,
17155300.000000,CSCO,30.008585,30.299999,30.090000,2017-01-23,30.270000,30.139999,
22754400.000000,CSCO,29.840053,30.250000,30.000000,2017-01-20,30.100000,30.120001,
16866000.000000,CSCO,29.721089,30.190001,29.920000,2017-01-19,29.980000,30.010000,
15724000.000000,CSCO,29.770658,30.180000,29.950001,2017-01-18,30.030001,30.120001,
21983500.000000,CSCO,29.731003,30.250000,29.840000,2017-01-17,29.990000,30.000000,
17136600.000000,CSCO,29.810312,30.219999,30.010000,2017-01-13,30.070000,30.100000,
18611100.000000,CSCO,29.780572,30.160000,29.799999,2017-01-12,30.040001,30.150000,
22291300.000000,CSCO,29.889621,30.410000,30.030001,2017-01-11,30.150000,30.330000,
21046000.000000,CSCO,30.117634,30.549999,30.100000,2017-01-10,30.379999,30.190001,
17177800.000000,CSCO,29.919362,30.330000,30.080000,2017-01-09,30.180000,30.219999,
15923200.000000,CSCO,29.968930,30.350000,30.030001,2017-01-06,30.230000,30.170000,
18372500.000000,CSCO,29.909448,30.360001,30.070000,2017-01-05,30.170000,30.100000,
22281000.000000,CSCO,29.840053,30.420000,30.020000,2017-01-04,30.100000,30.240000,
22370600.000000,CSCO,30.018499,30.559999,30.209999,2017-01-03,30.540001,30.370001,
20190000.000000,CSCO,29.703962,30.600000,30.129999,2016-12-30,30.219999,30.559999,
10995600.000000,CSCO,29.939864,30.549999,30.330000,2016-12-29,30.459999,30.370001,
12022200.000000,CSCO,29.900548,30.770000,30.350000,2016-12-28,30.420000,30.700001,
14175500.000000,CSCO,30.156108,30.820000,30.600000,2016-12-27,30.680000,30.639999,
9167500.000000,CSCO,30.008670,30.600000,30.400000,2016-12-23,30.530001,30.540001,
12935800.000000,CSCO,29.939864,30.480000,30.250000,2016-12-22,30.459999,30.400000,
14488900.000000,CSCO,29.900548,30.690001,30.410000,2016-12-21,30.420000,30.690001,
17475200.000000,CSCO,30.038156,30.870001,30.459999,2016-12-20,30.559999,30.830000,
18178500.000000,CSCO,30.224913,30.870001,30.540001,2016-12-19,30.750000,30.650000,
45875500.000000,CSCO,30.067645,30.719999,30.270000,2016-12-16,30.590000,30.700001,
20914100.000000,CSCO,30.106961,30.799999,30.510000,2016-12-15,30.629999,30.590000,
27556000.000000,CSCO,29.939864,31.070000,30.410000,2016-12-14,30.459999,30.600000,
25052900.000000,CSCO,30.067645,30.639999,30.200001,2016-12-13,30.590000,30.299999,
17287800.000000,CSCO,29.654817,30.200001,30.030001,2016-12-12,30.170000,30.080000,
21362000.000000,CSCO,29.546694,30.070000,29.730000,2016-12-09,30.059999,29.980000,
21369900.000000,CSCO,29.438574,30.330000,29.920000,2016-12-08,29.950001,30.110001,
30180100.000000,CSCO,29.438574,30.040001,29.320000,2016-12-07,29.950001,29.480000,
27352100.000000,CSCO,28.829160,29.590000,29.240000,2016-12-06,29.330000,29.420000,
20865800.000000,CSCO,29.025746,29.600000,29.290001,2016-12-05,29.530001,29.330000,
27069500.000000,CSCO,28.750527,29.559999,29.120001,2016-12-02,29.250000,29.309999,
25996200.000000,CSCO,28.947112,29.850000,29.400000,2016-12-01,29.450001,29.840000,
26224900.000000,CSCO,29.310793,29.950001,29.680000,2016-11-30,29.820000,29.760000,
23553700.000000,CSCO,29.320622,30.100000,29.790001,2016-11-29,29.830000,29.940001,
21468900.000000,CSCO,29.409086,30.090000,29.820000,2016-11-28,29.920000,30.080000,
17678900.000000,CSCO,29.576183,30.150000,29.549999,2016-11-25,30.090000,29.600000,
24496800.000000,CSCO,29.202671,29.950001,29.559999,2016-11-23,29.709999,29.830000,
26769300.000000,CSCO,29.379597,30.190001,29.850000,2016-11-22,29.889999,30.080000,
27481700.000000,CSCO,29.536865,30.330000,30.010000,2016-11-21,30.049999,30.299999,
38748600.000000,CSCO,29.664646,30.360001,30.010000,2016-11-18,30.180000,30.110001,
75252300.000000,CSCO,29.536865,30.049999,29.610001,2016-11-17,30.049999,29.910000,
27097100.000000,CSCO,31.030910,31.889999,31.510000,2016-11-16,31.570000,31.620001,
24160200.000000,CSCO,31.158691,31.850000,31.270000,2016-11-15,31.700001,31.270000,
22917600.000000,CSCO,30.834326,31.670000,31.350000,2016-11-14,31.370001,31.430000,
23150300.000000,CSCO,30.824497,31.469999,30.920000,2016-11-11,31.360001,30.930000,
38345000.000000,CSCO,30.470644,31.760000,30.809999,2016-11-10,31.000000,31.410000,
38564100.000000,CSCO,30.824497,31.490000,30.700001,2016-11-09,31.360001,31.040001,
19399800.000000,CSCO,30.470644,31.200001,30.730000,2016-11-08,31.000000,30.940001,
23061100.000000,CSCO,30.411669,31.059999,30.610001,2016-11-07,30.940001,30.709999,
18524000.000000,CSCO,29.674476,30.500000,29.629999,2016-11-04,30.190001,29.980000,
15937100.000000,CSCO,29.802255,30.559999,30.240000,2016-11-03,30.320000,30.500000,
19174000.000000,CSCO,29.871059,30.680000,30.230000,2016-11-02,30.389999,30.430000,
17542100.000000,CSCO,29.959523,30.860001,30.230000,2016-11-01,30.480000,30.850000,
23225400.000000,CSCO,30.156108,30.770000,30.320000,2016-10-31,30.680000,30.340000,
19946800.000000,CSCO,30.067645,30.799999,30.350000,2016-10-28,30.590000,30.360001,
16926200.000000,CSCO,29.861230,30.670000,30.360001,2016-10-27,30.379999,30.600000,
18008600.000000,CSCO,30.028327,30.860001,30.320000,2016-10-26,30.549999,30.590000,
15257800.000000,CSCO,29.821914,30.510000,30.230000,2016-10-25,30.340000,30.500000,
14115300.000000,CSCO,29.939864,30.500000,30.299999,2016-10-24,30.459999,30.340000,
15140500.000000,CSCO,29.635158,30.200001,29.920000,2016-10-21,30.150000,30.010000,
17315300.000000,CSCO,29.644987,30.370001,30.040001,2016-10-20,30.160000,30.280001,
14830900.000000,CSCO,29.831743,30.450001,30.190001,2016-10-19,30.350000,30.440001,
14444900.000000,CSCO,29.920207,30.690001,30.430000,2016-10-18,30.440001,30.690001,
13957500.000000,CSCO,29.703962,30.420000,30.100000,2016-10-17,30.219999,30.129999,
20545100.000000,CSCO,29.664646,30.549999,30.160000,2016-10-14,30.180000,30.350000,
24286600.000000,CSCO,29.654817,30.250000,29.860001,2016-10-13,30.170000,30.090000,
36899900.000000,CSCO,29.821914,30.629999,29.940001,2016-10-12,30.340000,30.530001,
19412000.000000,CSCO,30.509961,31.530001,30.850000,2016-10-11,31.040001,31.520000,
12759400.000000,CSCO,30.932617,31.680000,31.440001,2016-10-10,31.469999,31.540001,
13073200.000000,CSCO,30.932617,31.600000,31.230000,2016-10-07,31.469999,31.480000,
14077100.000000,CSCO,30.942447,31.629999,31.209999,2016-10-06,31.480000,31.570000,
11808600.000000,CSCO,31.050569,31.680000,31.410000,2016-10-05,31.590000,31.410000,
