Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
4679500.000000,CVX,108.660004,108.720001,107.010002,2017-04-04,108.660004,107.879997,
5799000.000000,CVX,107.800003,107.970001,106.379997,2017-04-03,107.800003,107.220001,
6149200.000000,CVX,107.370003,108.139999,107.050003,2017-03-31,107.370003,107.699997,
6790000.000000,CVX,107.779999,108.680000,107.199997,2017-03-30,107.779999,108.150002,
4855500.000000,CVX,108.070000,108.080002,106.879997,2017-03-29,108.070000,106.949997,
6295400.000000,CVX,107.169998,107.739998,106.120003,2017-03-28,107.169998,106.279999,
6437300.000000,CVX,106.279999,107.349998,105.820000,2017-03-27,106.279999,107.000000,
6265700.000000,CVX,107.989998,108.419998,107.699997,2017-03-24,107.989998,107.930000,
5144200.000000,CVX,107.870003,108.860001,107.750000,2017-03-23,107.870003,108.290001,
8064100.000000,CVX,108.389999,108.849998,107.519997,2017-03-22,108.389999,107.650002,
7226500.000000,CVX,108.040001,108.230003,107.400002,2017-03-21,108.040001,108.059998,
5087800.000000,CVX,107.660004,107.849998,107.019997,2017-03-20,107.660004,107.269997,
13763100.000000,CVX,107.680000,108.419998,107.680000,2017-03-17,107.680000,108.000000,
8744000.000000,CVX,107.860001,108.879997,107.440002,2017-03-16,107.860001,108.809998,
9201200.000000,CVX,108.879997,108.980003,107.540001,2017-03-15,108.879997,108.080002,
9898400.000000,CVX,107.360001,108.570000,107.120003,2017-03-14,107.360001,108.470001,
6321000.000000,CVX,109.349998,110.809998,109.309998,2017-03-13,109.349998,110.510002,
6516100.000000,CVX,110.610001,111.410004,109.440002,2017-03-10,110.610001,111.400002,
7226300.000000,CVX,110.040001,110.169998,108.510002,2017-03-09,110.040001,109.309998,
8975300.000000,CVX,109.610001,111.919998,109.400002,2017-03-08,109.610001,111.680000,
6474700.000000,CVX,111.809998,113.879997,111.690002,2017-03-07,111.809998,113.540001,
4700600.000000,CVX,113.169998,113.500000,112.669998,2017-03-06,113.169998,113.250000,
