Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
3594400.000000,DD,79.800003,79.860001,79.110001,2017-04-04,79.800003,79.589996,
2651500.000000,DD,79.669998,80.669998,78.830002,2017-04-03,79.669998,80.440002,
3552400.000000,DD,80.330002,81.500000,80.320000,2017-03-31,80.330002,81.400002,
2096100.000000,DD,81.639999,82.080002,81.349998,2017-03-30,81.639999,81.900002,
2550400.000000,DD,81.870003,82.040001,81.320000,2017-03-29,81.870003,81.599998,
3520600.000000,DD,81.839996,82.370003,80.150002,2017-03-28,81.839996,80.389999,
3561600.000000,DD,80.580002,80.779999,78.830002,2017-03-27,80.580002,79.349998,
2382400.000000,DD,79.599998,81.070000,79.269997,2017-03-24,79.599998,80.400002,
3846700.000000,DD,80.559998,80.680000,78.769997,2017-03-23,80.559998,78.940002,
3150600.000000,DD,79.180000,79.680000,78.320000,2017-03-22,79.180000,79.680000,
3737400.000000,DD,79.760002,81.830002,79.559998,2017-03-21,79.760002,81.599998,
2899200.000000,DD,81.500000,81.860001,80.629997,2017-03-20,81.500000,81.139999,
6456300.000000,DD,81.250000,81.540001,80.639999,2017-03-17,81.250000,81.419998,
1932300.000000,DD,80.610001,81.300003,80.279999,2017-03-16,80.610001,81.070000,
2799600.000000,DD,81.489998,81.510002,80.510002,2017-03-15,81.489998,81.019997,
2372100.000000,DD,80.419998,80.970001,80.110001,2017-03-14,80.419998,80.779999,
1902300.000000,DD,81.230003,81.349998,80.720001,2017-03-13,81.230003,81.000000,
2906700.000000,DD,80.860001,80.989998,80.230003,2017-03-10,80.860001,80.730003,
3766000.000000,DD,80.480003,80.529999,79.059998,2017-03-09,80.480003,79.870003,
3365700.000000,DD,79.769997,80.550003,79.110001,2017-03-08,79.769997,79.599998,
4536300.000000,DD,79.389999,79.809998,79.309998,2017-03-07,79.389999,79.809998,
3757500.000000,DD,79.809998,80.500000,79.129997,2017-03-06,79.809998,79.680000,
1845200.000000,DD,79.599998,80.120003,79.339996,2017-03-03,79.599998,79.730003,
2965400.000000,DD,79.730003,80.139999,79.430000,2017-03-02,79.730003,80.000000,
5063700.000000,DD,79.709999,80.000000,79.010002,2017-03-01,79.709999,79.510002,
2265000.000000,DD,78.540001,79.300003,78.300003,2017-02-28,78.540001,79.300003,
2619800.000000,DD,79.230003,79.989998,78.930000,2017-02-27,79.230003,79.720001,
2257200.000000,DD,79.809998,79.849998,79.180000,2017-02-24,79.809998,79.500000,
4381000.000000,DD,79.589996,80.080002,79.269997,2017-02-23,79.589996,79.959999,
9046600.000000,DD,79.800003,80.660004,77.000000,2017-02-22,79.800003,77.019997,
2002300.000000,DD,77.180000,78.199997,76.900002,2017-02-21,77.180000,77.309998,
1702100.000000,DD,77.489998,77.800003,76.809998,2017-02-17,77.489998,77.699997,
1455800.000000,DD,77.790001,78.400002,77.489998,2017-02-16,77.790001,78.000000,
1654800.000000,DD,77.940002,78.089996,77.529999,2017-02-15,77.940002,78.029999,
2182100.000000,DD,78.050003,78.339996,76.830002,2017-02-14,78.050003,77.699997,
2192600.000000,DD,77.820000,77.900002,76.989998,2017-02-13,77.820000,77.199997,
1556400.000000,DD,76.830001,77.300003,76.559998,2017-02-10,77.209999,76.660004,
1869800.000000,DD,75.994139,76.860001,75.769997,2017-02-09,76.370003,76.000000,
1412000.000000,DD,75.586153,76.260002,75.500000,2017-02-08,75.959999,75.620003,
1387200.000000,DD,75.695612,76.550003,75.820000,2017-02-07,76.070000,76.209999,
1335900.000000,DD,75.914531,76.480003,75.879997,2017-02-06,76.290001,75.919998,
1295800.000000,DD,76.053841,76.570000,75.629997,2017-02-03,76.430000,76.220001,
1769300.000000,DD,75.795119,76.900002,75.860001,2017-02-02,76.169998,76.089996,
2211400.000000,DD,75.964280,76.389999,75.169998,2017-02-01,76.339996,75.300003,
1970600.000000,DD,75.128418,75.870003,75.040001,2017-01-31,75.500000,75.839996,
2016700.000000,DD,75.625957,77.279999,75.809998,2017-01-30,76.000000,77.099998,
2109100.000000,DD,77.317587,78.339996,77.680000,2017-01-27,77.699997,77.949997,
3521100.000000,DD,77.606161,78.360001,76.389999,2017-01-26,77.989998,76.540001,
4016000.000000,DD,76.292658,76.860001,75.680000,2017-01-25,76.669998,76.000000,
5715700.000000,DD,75.675714,76.470001,73.000000,2017-01-24,76.050003,73.709999,
2373000.000000,DD,72.421804,73.339996,72.230003,2017-01-23,72.779999,72.970001,
3231100.000000,DD,72.670573,73.690002,72.660004,2017-01-20,73.029999,73.209999,
1461800.000000,DD,72.590965,73.839996,72.589996,2017-01-19,72.949997,73.639999,
1985700.000000,DD,73.088504,73.599998,72.620003,2017-01-18,73.449997,73.160004,
2726700.000000,DD,72.610871,73.150002,72.440002,2017-01-17,72.970001,73.099998,
1942300.000000,DD,73.237768,74.050003,73.239998,2017-01-13,73.599998,73.839996,
2386400.000000,DD,73.745260,74.550003,73.650002,2017-01-12,74.110001,74.010002,
