Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
3376900.000000,DIS,113.040001,113.550003,112.830002,2017-04-04,113.040001,113.150002,
4643300.000000,DIS,113.199997,113.650002,112.430000,2017-04-03,113.199997,113.180000,
4595000.000000,DIS,113.389999,113.709999,112.949997,2017-03-31,113.389999,113.000000,
4188000.000000,DIS,113.180000,113.300003,112.279999,2017-03-30,113.180000,112.529999,
3741400.000000,DIS,112.529999,112.940002,112.309998,2017-03-29,112.529999,112.660004,
5081500.000000,DIS,113.050003,113.239998,112.019997,2017-03-28,113.050003,112.599998,
4273700.000000,DIS,112.379997,112.550003,111.449997,2017-03-27,112.379997,111.809998,
4653300.000000,DIS,112.139999,112.580002,111.680000,2017-03-24,112.139999,112.400002,
8260700.000000,DIS,112.239998,112.980003,111.660004,2017-03-23,112.239998,111.709999,
5006000.000000,DIS,112.080002,112.180000,111.349998,2017-03-22,112.080002,111.849998,
6935300.000000,DIS,111.750000,113.099998,111.540001,2017-03-21,111.750000,112.970001,
7990500.000000,DIS,112.709999,113.160004,112.050003,2017-03-20,112.709999,112.070000,
9038400.000000,DIS,111.760002,112.089996,111.180000,2017-03-17,111.760002,111.870003,
4353200.000000,DIS,111.709999,112.320000,111.400002,2017-03-16,111.709999,112.180000,
5218600.000000,DIS,111.870003,112.449997,111.150002,2017-03-15,111.870003,112.430000,
6245300.000000,DIS,112.309998,112.889999,111.720001,2017-03-14,112.309998,111.730003,
5147100.000000,DIS,111.519997,111.680000,110.820000,2017-03-13,111.519997,110.919998,
3929800.000000,DIS,110.919998,111.500000,110.690002,2017-03-10,110.919998,111.400002,
3994500.000000,DIS,111.029999,111.320000,110.690002,2017-03-09,111.029999,110.900002,
4843700.000000,DIS,110.839996,111.320000,110.660004,2017-03-08,110.839996,110.870003,
4937500.000000,DIS,110.860001,110.930000,110.160004,2017-03-07,110.860001,110.699997,
4967400.000000,DIS,110.669998,110.980003,110.089996,2017-03-06,110.669998,110.769997,
5837900.000000,DIS,111.239998,111.500000,110.040001,2017-03-03,111.239998,110.589996,
4713000.000000,DIS,110.589996,111.209999,110.449997,2017-03-02,110.589996,111.000000,
7359400.000000,DIS,111.040001,111.800003,110.660004,2017-03-01,111.040001,110.660004,
4749000.000000,DIS,110.089996,110.400002,109.830002,2017-02-28,110.089996,110.000000,
3436400.000000,DIS,110.230003,110.470001,109.830002,2017-02-27,110.230003,109.930000,
4766100.000000,DIS,110.320000,110.320000,109.099998,2017-02-24,110.320000,109.620003,
5470400.000000,DIS,109.730003,110.489998,109.589996,2017-02-23,109.730003,110.300003,
5473400.000000,DIS,110.120003,110.279999,109.529999,2017-02-22,110.120003,109.690002,
4991500.000000,DIS,110.010002,110.209999,109.800003,2017-02-21,110.010002,109.940002,
6287300.000000,DIS,110.059998,110.500000,109.519997,2017-02-17,110.059998,110.239998,
7169400.000000,DIS,110.709999,110.870003,110.089996,2017-02-16,110.709999,110.339996,
7033500.000000,DIS,110.180000,110.680000,109.800003,2017-02-15,110.180000,109.910004,
4764100.000000,DIS,110.330002,110.330002,109.529999,2017-02-14,110.330002,109.800003,
5653200.000000,DIS,109.650002,109.900002,108.900002,2017-02-13,109.650002,108.949997,
6521300.000000,DIS,109.260002,109.800003,108.580002,2017-02-10,109.260002,109.349998,
6367500.000000,DIS,109.489998,109.849998,109.000000,2017-02-09,109.489998,109.000000,
13611500.000000,DIS,109.000000,111.419998,108.980003,2017-02-08,109.000000,109.559998,
9574800.000000,DIS,109.000000,109.730003,108.769997,2017-02-07,109.000000,109.650002,
6822600.000000,DIS,109.570000,110.150002,109.300003,2017-02-06,109.570000,109.919998,
7917700.000000,DIS,110.300003,111.150002,110.209999,2017-02-03,110.300003,110.900002,
6501200.000000,DIS,110.610001,111.540001,110.550003,2017-02-02,110.610001,111.209999,
10489600.000000,DIS,111.300003,111.989998,110.680000,2017-02-01,111.300003,110.709999,
8395300.000000,DIS,110.650002,110.800003,109.980003,2017-01-31,110.650002,110.589996,
13765200.000000,DIS,110.940002,111.050003,108.959999,2017-01-30,110.940002,109.860001,
5534500.000000,DIS,109.300003,109.400002,108.150002,2017-01-27,109.300003,108.489998,
6079100.000000,DIS,108.059998,108.620003,107.980003,2017-01-26,108.059998,108.209999,
6169400.000000,DIS,108.040001,108.419998,108.000000,2017-01-25,108.040001,108.230003,
5435800.000000,DIS,107.900002,108.059998,107.080002,2017-01-24,107.900002,107.199997,
5666600.000000,DIS,107.120003,107.680000,106.570000,2017-01-23,107.120003,107.339996,
5534800.000000,DIS,107.660004,107.820000,107.180000,2017-01-20,107.660004,107.349998,
5348900.000000,DIS,107.279999,108.010002,107.080002,2017-01-19,107.279999,107.919998,
7162000.000000,DIS,108.160004,108.400002,106.809998,2017-01-18,108.160004,106.930000,
7583100.000000,DIS,107.970001,108.930000,107.650002,2017-01-17,107.970001,107.910004,
6467200.000000,DIS,108.059998,108.349998,106.900002,2017-01-13,108.059998,107.160004,
8201600.000000,DIS,107.529999,109.000000,107.430000,2017-01-12,107.529999,108.120003,
7590400.000000,DIS,109.440002,109.489998,108.379997,2017-01-11,109.440002,108.540001,
7893600.000000,DIS,108.379997,108.820000,107.349998,2017-01-10,108.379997,107.900002,
6193400.000000,DIS,108.360001,108.830002,108.110001,2017-01-09,108.360001,108.580002,
9263300.000000,DIS,108.980003,109.349998,107.750000,2017-01-06,108.980003,108.019997,
6292500.000000,DIS,107.379997,107.620003,106.790001,2017-01-05,107.379997,107.169998,
8231900.000000,DIS,107.440002,107.500000,106.250000,2017-01-04,107.440002,106.639999,
8872900.000000,DIS,106.080002,106.900002,105.209999,2017-01-03,106.080002,105.300003,
6629500.000000,DIS,104.220001,105.000000,103.959999,2016-12-30,104.220001,104.570000,
5892000.000000,DIS,104.559998,104.769997,103.870003,2016-12-29,104.559998,104.230003,
5116200.000000,DIS,104.300003,105.320000,104.059998,2016-12-28,104.300003,104.989998,
3634300.000000,DIS,105.169998,105.559998,104.779999,2016-12-27,105.169998,104.849998,
3231000.000000,DIS,105.150002,105.339996,104.750000,2016-12-23,105.150002,105.239998,
5230800.000000,DIS,105.419998,105.489998,104.699997,2016-12-22,105.419998,104.959999,
5202400.000000,DIS,105.559998,105.910004,104.510002,2016-12-21,105.559998,104.610001,
8947300.000000,DIS,105.459999,106.199997,105.059998,2016-12-20,105.459999,105.639999,
11475600.000000,DIS,105.300003,106.260002,105.070000,2016-12-19,105.300003,105.699997,
12635500.000000,DIS,103.910004,104.730003,103.750000,2016-12-16,103.910004,104.709999,
8745400.000000,DIS,104.389999,105.639999,103.820000,2016-12-15,104.389999,103.849998,
7961900.000000,DIS,104.050003,104.410004,103.500000,2016-12-14,104.050003,103.620003,
7393200.000000,DIS,103.849998,104.309998,103.709999,2016-12-13,103.849998,104.199997,
7880200.000000,DIS,104.059998,104.699997,103.730003,2016-12-12,104.059998,104.610001,
12173900.000000,DIS,104.860001,105.519997,103.180000,2016-12-09,104.860001,103.489998,
16524800.000000,DIS,103.379997,103.959999,101.470001,2016-12-08,103.379997,101.470001,
12255700.000000,DIS,101.209997,102.070000,100.440002,2016-12-07,101.989998,100.510002,
8427500.000000,DIS,99.890175,100.720001,99.820000,2016-12-06,100.660004,99.949997,
11331500.000000,DIS,99.195524,100.269997,98.680000,2016-12-05,99.959999,98.980003,
7737200.000000,DIS,97.746690,99.080002,98.250000,2016-12-02,98.500000,98.790001,
9958100.000000,DIS,98.183328,99.750000,98.620003,2016-12-01,98.940002,99.129997,
11369200.000000,DIS,98.361952,100.290001,99.000000,2016-11-30,99.120003,99.400002,
8396800.000000,DIS,98.907741,99.680000,98.970001,2016-11-29,99.669998,99.239998,
7106700.000000,DIS,98.213097,99.199997,98.320000,2016-11-28,98.970001,98.519997,
4396800.000000,DIS,98.064243,99.070000,98.500000,2016-11-25,98.820000,98.709999,
5897400.000000,DIS,97.508528,98.279999,97.589996,2016-11-23,98.260002,97.669998,
5323700.000000,DIS,96.962731,97.930000,97.269997,2016-11-22,97.709999,97.400002,
10771100.000000,DIS,96.883341,98.269997,97.000000,2016-11-21,97.629997,98.110001,
