Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
25045900.000000,GE,30.020000,30.090000,29.700001,2017-04-04,30.020000,29.900000,
29726400.000000,GE,29.879999,30.000000,29.750000,2017-04-03,29.879999,29.760000,
49978400.000000,GE,29.799999,30.040001,29.740000,2017-03-31,29.799999,29.860001,
35779100.000000,GE,29.870001,29.990000,29.629999,2017-03-30,29.870001,29.660000,
27428500.000000,GE,29.680000,29.709999,29.459999,2017-03-29,29.680000,29.520000,
27750600.000000,GE,29.620001,29.730000,29.250000,2017-03-28,29.620001,29.309999,
28853200.000000,GE,29.440001,29.510000,29.250000,2017-03-27,29.440001,29.450001,
27542300.000000,GE,29.719999,29.809999,29.530001,2017-03-24,29.719999,29.590000,
23548000.000000,GE,29.620001,29.730000,29.379999,2017-03-23,29.620001,29.500000,
25245400.000000,GE,29.530001,29.709999,29.309999,2017-03-22,29.530001,29.559999,
26314500.000000,GE,29.389999,29.860001,29.340000,2017-03-21,29.389999,29.860001,
17046500.000000,GE,29.740000,29.920000,29.690001,2017-03-20,29.740000,29.900000,
42988000.000000,GE,29.879999,30.040001,29.770000,2017-03-17,29.879999,29.850000,
20934400.000000,GE,29.750000,29.820000,29.620001,2017-03-16,29.750000,29.799999,
24599100.000000,GE,29.760000,29.830000,29.469999,2017-03-15,29.760000,29.549999,
22544300.000000,GE,29.540001,29.790001,29.469999,2017-03-14,29.540001,29.760000,
29193000.000000,GE,29.860001,30.260000,29.790001,2017-03-13,29.860001,30.230000,
59053400.000000,GE,30.280001,30.430000,29.629999,2017-03-10,30.280001,29.840000,
25667500.000000,GE,29.660000,29.830000,29.559999,2017-03-09,29.660000,29.750000,
31967200.000000,GE,29.799999,29.940001,29.730000,2017-03-08,29.799999,29.889999,
29347600.000000,GE,29.860001,29.990000,29.790001,2017-03-07,29.860001,29.930000,
23352600.000000,GE,30.000000,30.080000,29.920000,2017-03-06,30.000000,30.000000,
19957000.000000,GE,30.120001,30.219999,30.049999,2017-03-03,30.120001,30.190001,
27640400.000000,GE,30.190001,30.230000,30.000000,2017-03-02,30.190001,30.230000,
36883000.000000,GE,30.190001,30.350000,29.820000,2017-03-01,30.190001,29.980000,
39111900.000000,GE,29.809999,30.080000,29.670000,2017-02-28,29.809999,29.990000,
23571800.000000,GE,29.940001,30.150000,29.900000,2017-02-27,29.940001,30.049999,
27323700.000000,GE,30.190001,30.190001,29.780001,2017-02-24,30.190001,29.840000,
28947900.000000,GE,30.020000,30.080000,29.850000,2017-02-23,30.020000,30.040001,
30124500.000000,GE,30.090001,30.549999,30.260000,2017-02-22,30.330000,30.520000,
30241000.000000,GE,30.278498,30.590000,30.340000,2017-02-21,30.520000,30.410000,
21849400.000000,GE,30.129685,30.440001,30.200001,2017-02-17,30.370001,30.410000,
25932500.000000,GE,30.209052,30.469999,30.299999,2017-02-16,30.450001,30.350000,
25472300.000000,GE,30.109843,30.350000,30.180000,2017-02-15,30.350000,30.290001,
35028300.000000,GE,30.040397,30.280001,29.920000,2017-02-14,30.280001,30.129999,
37020000.000000,GE,29.802296,30.059999,29.730000,2017-02-13,30.040001,29.879999,
22787100.000000,GE,29.484827,29.750000,29.549999,2017-02-10,29.719999,29.740000,
21666000.000000,GE,29.355856,29.700001,29.430000,2017-02-09,29.590000,29.430000,
32181400.000000,GE,29.197123,29.540001,29.260000,2017-02-08,29.430000,29.510000,
23778300.000000,GE,29.326093,29.809999,29.530001,2017-02-07,29.559999,29.750000,
23725100.000000,GE,29.425302,29.750000,29.570000,2017-02-06,29.660000,29.680000,
31104300.000000,GE,29.464987,29.799999,29.540001,2017-02-03,29.700001,29.790001,
21709500.000000,GE,29.445144,29.709999,29.500000,2017-02-02,29.680000,29.580000,
25682300.000000,GE,29.455066,29.809999,29.559999,2017-02-01,29.690001,29.730000,
38703400.000000,GE,29.464987,29.900000,29.500000,2017-01-31,29.700001,29.850000,
26211800.000000,GE,29.722928,30.100000,29.770000,2017-01-30,29.959999,29.959999,
30005600.000000,GE,29.772533,30.440001,29.940001,2017-01-27,30.010000,30.400000,
26767100.000000,GE,30.080080,30.490000,30.129999,2017-01-26,30.320000,30.440001,
38131700.000000,GE,30.129685,30.469999,30.219999,2017-01-25,30.370001,30.420000,
33686500.000000,GE,29.762612,30.059999,29.820000,2017-01-24,30.000000,29.860001,
59093400.000000,GE,29.514590,30.510000,29.580000,2017-01-23,29.750000,30.500000,
83552700.000000,GE,30.288419,30.900000,30.299999,2017-01-20,30.530001,30.760000,
37697900.000000,GE,30.963036,31.340000,31.049999,2017-01-19,31.209999,31.250000,
24701400.000000,GE,30.982879,31.340000,31.129999,2017-01-18,31.230000,31.209999,
28827300.000000,GE,31.022563,31.450001,31.160000,2017-01-17,31.270000,31.170000,
24323800.000000,GE,31.111851,31.450001,31.250000,2017-01-13,31.360001,31.360001,
29916100.000000,GE,31.141612,31.469999,31.129999,2017-01-12,31.389999,31.450001,
28385100.000000,GE,31.220979,31.520000,31.240000,2017-01-11,31.469999,31.240000,
27202500.000000,GE,31.121772,31.620001,31.370001,2017-01-10,31.370001,31.459999,
21112100.000000,GE,31.211058,31.660000,31.430000,2017-01-09,31.459999,31.639999,
22120800.000000,GE,31.359873,31.770000,31.360001,2017-01-06,31.610001,31.580000,
25856800.000000,GE,31.270585,31.750000,31.309999,2017-01-05,31.520000,31.570000,
21442900.000000,GE,31.449161,31.830000,31.620001,2017-01-04,31.700001,31.750000,
32149500.000000,GE,31.439240,31.840000,31.400000,2017-01-03,31.690001,31.670000,
25455200.000000,GE,31.349952,31.799999,31.510000,2016-12-30,31.600000,31.629999,
16092100.000000,GE,31.459080,31.879999,31.700001,2016-12-29,31.709999,31.740000,
18885700.000000,GE,31.449161,31.969999,31.670000,2016-12-28,31.700001,31.840000,
15655900.000000,GE,31.647577,32.049999,31.850000,2016-12-27,31.900000,31.889999,
14988600.000000,GE,31.627735,31.940001,31.770000,2016-12-23,31.879999,31.870001,
24193800.000000,GE,31.568210,31.950001,31.780001,2016-12-22,31.820000,31.910000,
27964700.000000,GE,31.637656,32.240002,32.049999,2016-12-21,32.130001,32.200001,
39818200.000000,GE,31.755816,32.380001,31.910000,2016-12-20,32.250000,31.920000,
