Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
3032100.000000,GS,229.259995,230.690002,227.279999,2017-04-04,229.259995,227.720001,
3715600.000000,GS,228.960007,230.100006,225.570007,2017-04-03,228.960007,230.000000,
2855000.000000,GS,229.720001,230.800003,228.729996,2017-03-31,229.720001,230.529999,
3150600.000000,GS,231.220001,232.000000,229.380005,2017-03-30,231.220001,229.479996,
2631600.000000,GS,228.449997,229.970001,227.520004,2017-03-29,228.449997,229.389999,
4276000.000000,GS,229.330002,229.750000,225.100006,2017-03-28,229.330002,225.580002,
9173000.000000,GS,225.479996,227.070007,220.850006,2017-03-27,225.479996,223.300003,
6359700.000000,GS,228.410004,233.699997,226.970001,2017-03-24,228.410004,233.000000,
4637500.000000,GS,231.899994,234.630005,229.949997,2017-03-23,231.899994,230.750000,
6272700.000000,GS,231.070007,232.919998,229.160004,2017-03-22,231.070007,231.220001,
5614900.000000,GS,233.000000,243.309998,232.789993,2017-03-21,233.000000,243.309998,
2703800.000000,GS,242.139999,244.929993,241.520004,2017-03-20,242.139999,243.320007,
5405700.000000,GS,243.940002,249.679993,243.860001,2017-03-17,243.940002,249.679993,
2918400.000000,GS,248.220001,250.199997,247.309998,2017-03-16,248.220001,247.850006,
3375400.000000,GS,246.779999,250.279999,245.559998,2017-03-15,246.779999,248.350006,
2141900.000000,GS,247.720001,247.830002,245.410004,2017-03-14,247.720001,246.809998,
1782700.000000,GS,248.160004,249.320007,247.210007,2017-03-13,248.160004,249.320007,
3357800.000000,GS,248.380005,251.899994,246.869995,2017-03-10,248.380005,251.839996,
3055700.000000,GS,250.179993,252.740005,249.520004,2017-03-09,250.179993,251.220001,
3574400.000000,GS,250.240005,254.770004,249.610001,2017-03-08,250.240005,253.619995,
2414900.000000,GS,250.899994,253.000000,250.309998,2017-03-07,250.899994,252.490005,
2462300.000000,GS,252.009995,252.729996,250.500000,2017-03-06,252.009995,252.169998,
3163700.000000,GS,252.889999,254.750000,251.059998,2017-03-03,252.889999,251.059998,
3020000.000000,GS,251.059998,254.240005,250.970001,2017-03-02,251.059998,253.520004,
5218300.000000,GS,252.710007,255.149994,251.259995,2017-03-01,252.710007,253.710007,
3627100.000000,GS,248.059998,249.000000,245.610001,2017-02-28,248.059998,248.000000,
2372600.000000,GS,248.680002,249.759995,246.610001,2017-02-27,249.330002,247.210007,
3565400.000000,GS,246.705168,248.880005,246.100006,2017-02-24,247.350006,247.699997,
2594700.000000,GS,250.535153,251.899994,249.320007,2017-02-23,251.190002,251.309998,
2378800.000000,GS,251.073739,252.350006,250.000000,2017-02-22,251.729996,250.059998,
2794900.000000,GS,251.103659,252.649994,250.710007,2017-02-21,251.759995,251.000000,
3262300.000000,GS,249.727267,250.559998,247.110001,2017-02-17,250.380005,247.509995,
2286300.000000,GS,248.789715,250.779999,248.440002,2017-02-16,249.440002,250.300003,
4296600.000000,GS,249.886839,251.949997,248.509995,2017-02-15,250.539993,250.580002,
4141500.000000,GS,248.809667,250.000000,245.690002,2017-02-14,249.460007,246.009995,
2998200.000000,GS,245.627981,247.479996,244.490005,2017-02-13,246.270004,244.490005,
3072800.000000,GS,242.087233,244.160004,241.229996,2017-02-10,242.720001,243.369995,
3550800.000000,GS,240.920285,243.289993,237.419998,2017-02-09,241.550003,237.729996,
2744700.000000,GS,237.110236,238.940002,236.309998,2017-02-08,237.729996,238.300003,
2660200.000000,GS,238.995309,241.440002,239.389999,2017-02-07,239.619995,241.149994,
4639200.000000,GS,239.354371,243.649994,239.169998,2017-02-06,239.979996,239.600006,
7381000.000000,GS,240.321843,241.110001,234.199997,2017-02-03,240.949997,234.520004,
2775700.000000,GS,229.809328,232.330002,227.050003,2017-02-02,230.410004,228.509995,
