Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
3116300.000000,HD,146.339996,146.899994,146.050003,2017-04-04,146.339996,146.500000,
3773600.000000,HD,146.619995,147.199997,146.089996,2017-04-03,146.619995,146.940002,
3236500.000000,HD,146.830002,147.179993,146.649994,2017-03-31,146.830002,146.869995,
2446600.000000,HD,146.949997,147.380005,146.429993,2017-03-30,146.949997,146.720001,
3567000.000000,HD,147.039993,147.419998,145.960007,2017-03-29,147.039993,146.369995,
4122300.000000,HD,147.199997,147.350006,145.940002,2017-03-28,147.199997,147.289993,
2937300.000000,HD,146.869995,147.679993,146.259995,2017-03-27,146.869995,147.070007,
4696200.000000,HD,147.710007,150.149994,147.009995,2017-03-24,147.710007,147.850006,
3217300.000000,HD,147.990005,148.410004,147.029999,2017-03-23,147.990005,147.279999,
3143500.000000,HD,147.360001,147.929993,146.059998,2017-03-22,147.360001,146.729996,
4493800.000000,HD,146.610001,148.699997,146.259995,2017-03-21,146.610001,148.330002,
5767700.000000,HD,147.800003,149.589996,147.699997,2017-03-20,147.800003,149.380005,
8774200.000000,HD,149.600006,149.990005,148.130005,2017-03-17,149.600006,149.399994,
3463800.000000,HD,148.729996,149.190002,148.009995,2017-03-16,148.729996,148.399994,
3584600.000000,HD,147.949997,148.380005,146.759995,2017-03-15,147.949997,147.350006,
3272500.000000,HD,147.160004,147.589996,146.460007,2017-03-14,147.160004,147.270004,
2814500.000000,HD,147.429993,147.669998,146.500000,2017-03-13,147.429993,147.330002,
3121200.000000,HD,146.850006,147.460007,146.449997,2017-03-10,146.850006,147.240005,
3594000.000000,HD,146.619995,147.160004,146.529999,2017-03-09,146.619995,147.080002,
3614500.000000,HD,146.919998,147.119995,145.919998,2017-03-08,146.919998,146.220001,
3996300.000000,HD,146.020004,146.949997,145.830002,2017-03-07,146.020004,146.330002,
3998000.000000,HD,146.240001,147.509995,146.580002,2017-03-06,147.130005,147.130005,
3412300.000000,HD,146.915881,148.259995,146.820007,2017-03-03,147.809998,147.949997,
4053400.000000,HD,147.055033,148.229996,146.389999,2017-03-02,147.949997,147.080002,
6213500.000000,HD,145.792711,147.699997,145.889999,2017-03-01,146.679993,146.720001,
4211900.000000,HD,144.033429,145.630005,144.470001,2017-02-28,144.910004,144.979996,
4388400.000000,HD,144.421069,146.009995,144.800003,2017-02-27,145.300003,145.869995,
3516900.000000,HD,145.067131,146.080002,144.649994,2017-02-24,145.949997,144.649994,
4184000.000000,HD,143.834642,146.330002,144.509995,2017-02-23,144.710007,146.110001,
5037800.000000,HD,144.371369,145.470001,143.970001,2017-02-22,145.250000,145.050003,
9275900.000000,HD,144.142764,145.649994,143.250000,2017-02-21,145.020004,145.600006,
5108400.000000,HD,142.134979,143.119995,141.000000,2017-02-17,143.000000,141.360001,
4295800.000000,HD,140.683804,142.990005,140.899994,2017-02-16,141.539993,142.389999,
4343500.000000,HD,141.329881,142.660004,140.949997,2017-02-15,142.190002,141.270004,
4775800.000000,HD,140.504900,141.369995,139.339996,2017-02-14,141.360001,139.949997,
2753000.000000,HD,139.023908,140.649994,139.050003,2017-02-13,139.869995,140.479996,
3297000.000000,HD,139.004040,140.570007,138.250000,2017-02-10,139.850006,138.600006,
2931900.000000,HD,137.870936,139.149994,137.410004,2017-02-09,138.710007,137.880005,
2882700.000000,HD,137.045955,137.910004,136.820007,2017-02-08,137.880005,136.889999,
3242000.000000,HD,135.823385,137.699997,136.330002,2017-02-07,136.649994,137.160004,
3864100.000000,HD,135.664364,137.899994,136.449997,2017-02-06,136.490005,137.429993,
2654700.000000,HD,137.145341,138.470001,136.970001,2017-02-03,137.979996,137.259995,
2197600.000000,HD,136.121573,137.550003,136.559998,2017-02-02,136.949997,137.470001,
2968800.000000,HD,136.608615,137.960007,136.529999,2017-02-01,137.440002,137.660004,
3227000.000000,HD,136.747767,138.619995,136.850006,2017-01-31,137.580002,137.630005,
2705000.000000,HD,137.632383,138.490005,136.860001,2017-01-30,138.470001,137.990005,
3149500.000000,HD,137.493230,138.830002,137.699997,2017-01-27,138.330002,138.800003,
2931200.000000,HD,137.622449,139.179993,137.710007,2017-01-26,138.460007,138.009995,
3631700.000000,HD,136.648366,139.369995,137.429993,2017-01-25,137.479996,138.449997,
4055100.000000,HD,137.224859,138.380005,137.300003,2017-01-24,138.059998,137.880005,
7056200.000000,HD,137.234809,138.270004,135.000000,2017-01-23,138.070007,135.309998,
4853900.000000,HD,134.779749,136.000000,134.600006,2017-01-20,135.600006,135.259995,
5078700.000000,HD,134.571012,136.779999,134.929993,2017-01-19,135.389999,136.000000,
3869700.000000,HD,135.336359,136.289993,134.919998,2017-01-18,136.160004,135.899994,
3976900.000000,HD,135.107739,136.479996,134.759995,2017-01-17,135.929993,135.089996,
3117600.000000,HD,134.223123,135.750000,134.759995,2017-01-13,135.039993,134.919998,
3600000.000000,HD,134.252956,135.529999,133.940002,2017-01-12,135.070007,135.509995,
4643700.000000,HD,134.879135,136.389999,134.740005,2017-01-11,135.699997,136.100006,
5928300.000000,HD,135.276724,136.380005,133.770004,2017-01-10,136.100006,134.000000,
4307400.000000,HD,133.497543,134.759995,133.139999,2017-01-09,134.309998,133.220001,
3827500.000000,HD,132.722263,134.330002,133.050003,2017-01-06,133.529999,133.970001,
3821100.000000,HD,133.090020,135.460007,133.779999,2017-01-05,133.899994,134.979996,
4055300.000000,HD,134.680347,135.940002,134.210007,2017-01-04,135.500000,134.339996,
5299700.000000,HD,133.497543,135.509995,133.589996,2017-01-03,134.309998,135.100006,
4149100.000000,HD,133.268939,135.820007,133.830002,2016-12-30,134.080002,135.639999,
2777900.000000,HD,134.282773,135.850006,134.630005,2016-12-29,135.100006,135.020004,
3369400.000000,HD,134.252956,135.860001,134.660004,2016-12-28,135.070007,135.570007,
2254900.000000,HD,134.441794,135.720001,134.710007,2016-12-27,135.259995,134.759995,
2337300.000000,HD,134.233073,135.990005,134.789993,2016-12-23,135.050003,135.649994,
4094800.000000,HD,134.610764,137.000000,135.179993,2016-12-22,135.429993,136.250000,
2704700.000000,HD,136.002304,137.240005,136.559998,2016-12-21,136.830002,136.929993,
4301500.000000,HD,136.280609,137.240005,135.429993,2016-12-20,137.110001,135.649994,
