Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
3097400.000000,IBM,174.520004,174.960007,173.259995,2017-04-04,174.520004,173.520004,
4271600.000000,IBM,174.500000,174.869995,173.380005,2017-04-03,174.500000,173.820007,
2911200.000000,IBM,174.139999,174.949997,173.690002,2017-03-31,174.139999,173.979996,
3153000.000000,IBM,173.860001,174.589996,173.690002,2017-03-30,173.860001,173.860001,
3039600.000000,IBM,173.940002,174.490005,173.460007,2017-03-29,173.940002,174.300003,
3506300.000000,IBM,174.509995,175.000000,173.000000,2017-03-28,174.509995,173.940002,
3217700.000000,IBM,173.770004,174.160004,172.089996,2017-03-27,173.770004,172.690002,
3178900.000000,IBM,173.830002,175.500000,173.389999,2017-03-24,173.830002,175.119995,
3615400.000000,IBM,174.820007,175.669998,173.559998,2017-03-23,174.820007,174.429993,
3426800.000000,IBM,174.779999,175.059998,172.800003,2017-03-22,174.779999,174.039993,
3883700.000000,IBM,173.880005,176.229996,173.839996,2017-03-21,173.880005,176.009995,
2334400.000000,IBM,175.699997,176.179993,175.139999,2017-03-20,175.699997,175.649994,
5843800.000000,IBM,175.649994,176.789993,175.649994,2017-03-17,175.649994,176.289993,
4263800.000000,IBM,177.240005,179.000000,176.820007,2017-03-16,177.240005,178.460007,
3695200.000000,IBM,175.809998,176.279999,174.750000,2017-03-15,175.809998,175.710007,
3144300.000000,IBM,175.720001,176.820007,175.210007,2017-03-14,175.720001,176.179993,
3428900.000000,IBM,176.460007,178.059998,176.419998,2017-03-13,176.460007,177.850006,
3089000.000000,IBM,177.830002,179.490005,177.419998,2017-03-10,177.830002,178.210007,
5413100.000000,IBM,177.179993,179.250000,175.880005,2017-03-09,177.179993,179.149994,
3520000.000000,IBM,179.449997,180.949997,179.300003,2017-03-08,179.449997,180.750000,
2930800.000000,IBM,180.380005,181.289993,180.199997,2017-03-07,180.380005,180.710007,
3180900.000000,IBM,180.470001,180.990005,179.570007,2017-03-06,180.470001,179.720001,
1822000.000000,IBM,180.050003,181.320007,179.759995,2017-03-03,180.050003,180.529999,
2913600.000000,IBM,180.529999,181.880005,180.429993,2017-03-02,180.529999,181.880005,
2960000.000000,IBM,181.949997,182.550003,180.029999,2017-03-01,181.949997,180.479996,
3272500.000000,IBM,179.820007,180.630005,179.350006,2017-02-28,179.820007,179.380005,
3672000.000000,IBM,179.399994,181.250000,179.279999,2017-02-27,179.399994,181.190002,
3267800.000000,IBM,181.350006,181.490005,179.889999,2017-02-24,181.350006,180.210007,
2250500.000000,IBM,181.649994,182.500000,180.919998,2017-02-23,181.649994,182.000000,
3013500.000000,IBM,181.149994,181.339996,180.089996,2017-02-22,181.149994,180.089996,
4346700.000000,IBM,180.259995,180.789993,179.119995,2017-02-21,180.259995,180.600006,
3478100.000000,IBM,180.669998,181.570007,180.000000,2017-02-17,180.669998,181.250000,
3237400.000000,IBM,181.429993,182.789993,180.869995,2017-02-16,181.429993,181.449997,
2875400.000000,IBM,181.679993,181.919998,179.809998,2017-02-15,181.679993,180.199997,
2567900.000000,IBM,180.130005,180.130005,178.350006,2017-02-14,180.130005,178.570007,
3093400.000000,IBM,179.360001,179.899994,178.839996,2017-02-13,179.360001,179.240005,
2930700.000000,IBM,178.679993,178.869995,176.759995,2017-02-10,178.679993,177.369995,
3090700.000000,IBM,177.210007,177.800003,175.910004,2017-02-09,177.210007,176.169998,
2913100.000000,IBM,176.169998,177.500000,175.880005,2017-02-08,176.169998,177.500000,
3873500.000000,IBM,177.060012,178.619995,175.899994,2017-02-07,178.460007,176.000000,
2650800.000000,IBM,174.480403,175.979996,174.380005,2017-02-06,175.860001,175.309998,
3309300.000000,IBM,174.440723,176.339996,174.889999,2017-02-03,175.820007,175.000000,
2620500.000000,IBM,173.210445,174.970001,173.550003,2017-02-02,174.580002,174.229996,
2795700.000000,IBM,172.922712,175.699997,172.889999,2017-02-01,174.289993,175.000000,
4139000.000000,IBM,173.150918,175.580002,173.610001,2017-01-31,174.520004,175.050003,
4094800.000000,IBM,174.420876,177.070007,174.580002,2017-01-30,175.800003,176.979996,
3482300.000000,IBM,175.909108,179.199997,177.300003,2017-01-27,177.300003,178.470001,
3063900.000000,IBM,177.258440,178.880005,177.509995,2017-01-26,178.660004,178.059998,
5922500.000000,IBM,176.891332,179.250000,176.130005,2017-01-25,178.289993,176.259995,
6952400.000000,IBM,174.520082,176.000000,171.160004,2017-01-24,175.899994,171.360001,
5478200.000000,IBM,169.688291,171.250000,170.009995,2017-01-23,171.029999,170.080002,
12690000.000000,IBM,169.212061,170.639999,166.000000,2017-01-20,170.550003,167.809998,
6963400.000000,IBM,165.501396,167.449997,165.800003,2017-01-19,166.809998,166.960007,
4007800.000000,IBM,165.491479,168.589996,166.690002,2017-01-18,166.800003,167.449997,
3315700.000000,IBM,166.572925,168.179993,166.119995,2017-01-17,167.889999,166.690002,
2875400.000000,IBM,166.027237,168.479996,166.880005,2017-01-13,167.339996,167.970001,
2927500.000000,IBM,166.632452,168.009995,165.559998,2017-01-12,167.949997,167.770004,
3599500.000000,IBM,166.434024,167.759995,165.600006,2017-01-11,167.750000,166.050003,
4118700.000000,IBM,164.221522,168.089996,165.339996,2017-01-10,165.520004,167.979996,
3184700.000000,IBM,166.334802,169.800003,167.619995,2017-01-09,167.649994,169.470001,
2945500.000000,IBM,168.200059,169.919998,167.520004,2017-01-06,169.529999,168.690002,
2682300.000000,IBM,167.376568,169.389999,167.259995,2017-01-05,168.699997,169.250000,
3381400.000000,IBM,167.932173,169.869995,167.360001,2017-01-04,169.259995,167.770004,
2934300.000000,IBM,165.878419,167.869995,166.009995,2017-01-03,167.190002,167.000000,
2952800.000000,IBM,164.687836,166.699997,165.500000,2016-12-30,165.990005,166.440002,
1663500.000000,IBM,165.293051,166.990005,166.000000,2016-12-29,166.600006,166.020004,
1757500.000000,IBM,164.886264,167.740005,166.000000,2016-12-28,166.190002,167.289993,
1397500.000000,IBM,165.828809,167.979996,166.850006,2016-12-27,167.139999,166.979996,
1701200.000000,IBM,165.402189,167.490005,166.449997,2016-12-23,166.710007,167.000000,
2802600.000000,IBM,165.749434,168.229996,166.580002,2016-12-22,167.059998,167.360001,
3575700.000000,IBM,166.017321,167.940002,165.250000,2016-12-21,167.330002,166.250000,
2174600.000000,IBM,166.285207,168.250000,166.449997,2016-12-20,167.600006,167.490005,
2955900.000000,IBM,165.372411,167.259995,166.000000,2016-12-19,166.679993,166.830002,
