Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
18835500.000000,INTC,36.279999,36.380001,35.990002,2017-04-04,36.279999,36.119999,
32003500.000000,INTC,36.160000,36.740002,36.119999,2017-04-03,36.160000,36.189999,
21405500.000000,INTC,36.070000,36.250000,35.740002,2017-03-31,36.070000,35.750000,
16313200.000000,INTC,35.750000,35.889999,35.520000,2017-03-30,35.750000,35.580002,
17109000.000000,INTC,35.570000,35.700001,35.439999,2017-03-29,35.570000,35.520000,
18394800.000000,INTC,35.599998,35.709999,35.209999,2017-03-28,35.599998,35.340000,
16986300.000000,INTC,35.389999,35.500000,34.939999,2017-03-27,35.389999,35.070000,
22030600.000000,INTC,35.160000,35.730000,35.119999,2017-03-24,35.160000,35.650002,
20529600.000000,INTC,35.270000,35.490002,35.020000,2017-03-23,35.270000,35.490002,
18704600.000000,INTC,35.369999,35.459999,35.000000,2017-03-22,35.369999,35.220001,
22513700.000000,INTC,35.040001,35.599998,35.000000,2017-03-21,35.040001,35.590000,
16686200.000000,INTC,35.430000,35.630001,35.259998,2017-03-20,35.430000,35.369999,
30446300.000000,INTC,35.270000,35.330002,35.099998,2017-03-17,35.270000,35.310001,
19377700.000000,INTC,35.139999,35.360001,35.070000,2017-03-16,35.139999,35.169998,
27964300.000000,INTC,35.099998,35.169998,34.680000,2017-03-15,35.099998,34.939999,
28538100.000000,INTC,35.180000,35.230000,34.660000,2017-03-14,35.180000,35.060001,
52088500.000000,INTC,35.160000,36.040001,34.939999,2017-03-13,35.160000,35.849998,
24626400.000000,INTC,35.910000,36.299999,35.779999,2017-03-10,35.910000,36.119999,
23543100.000000,INTC,35.820000,35.939999,35.500000,2017-03-09,35.820000,35.599998,
20899400.000000,INTC,35.619999,35.900002,35.529999,2017-03-08,35.619999,35.669998,
23337700.000000,INTC,35.799999,35.799999,35.389999,2017-03-07,35.799999,35.540001,
24280300.000000,INTC,35.570000,35.799999,35.419998,2017-03-06,35.570000,35.790001,
17538100.000000,INTC,35.900002,36.090000,35.669998,2017-03-03,35.900002,35.939999,
23591200.000000,INTC,35.910000,36.020000,35.650002,2017-03-02,35.910000,35.930000,
33969900.000000,INTC,35.930000,36.099998,35.439999,2017-03-01,35.930000,35.849998,
24793100.000000,INTC,36.200001,36.459999,36.000000,2017-02-28,36.200001,36.419998,
14063400.000000,INTC,36.509998,36.680000,36.270000,2017-02-27,36.509998,36.419998,
18515100.000000,INTC,36.529999,36.529999,35.950001,2017-02-24,36.529999,36.139999,
22509000.000000,INTC,36.180000,36.299999,35.900002,2017-02-23,36.180000,36.240002,
29868400.000000,INTC,36.070000,36.400002,35.790001,2017-02-22,36.070000,36.340000,
20542400.000000,INTC,36.520000,36.650002,36.330002,2017-02-21,36.520000,36.529999,
18712800.000000,INTC,36.480000,36.480000,36.099998,2017-02-17,36.480000,36.320000,
21181700.000000,INTC,36.410000,36.560001,36.099998,2017-02-16,36.410000,36.180000,
18364200.000000,INTC,36.049999,36.060001,35.669998,2017-02-15,36.049999,35.980000,
25725100.000000,INTC,35.930000,35.959999,35.529999,2017-02-14,35.930000,35.840000,
