Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
5318500.000000,JNJ,124.680000,124.769997,124.220001,2017-04-04,124.680000,124.510002,
4956400.000000,JNJ,124.690002,125.309998,124.279999,2017-04-03,124.690002,124.730003,
5649900.000000,JNJ,124.550003,124.830002,124.029999,2017-03-31,124.550003,124.110001,
4670200.000000,JNJ,124.660004,125.430000,124.279999,2017-03-30,124.660004,124.739998,
3895400.000000,JNJ,124.919998,125.330002,124.360001,2017-03-29,124.919998,125.050003,
5231500.000000,JNJ,125.660004,125.779999,124.779999,2017-03-28,125.660004,125.620003,
4989900.000000,JNJ,125.800003,126.139999,125.150002,2017-03-27,125.800003,125.160004,
6405700.000000,JNJ,125.480003,126.360001,125.129997,2017-03-24,125.480003,125.860001,
8489100.000000,JNJ,125.900002,127.000000,125.660004,2017-03-23,125.900002,126.099998,
10204600.000000,JNJ,126.260002,127.650002,126.209999,2017-03-22,126.260002,127.050003,
7526800.000000,JNJ,127.250000,128.449997,127.139999,2017-03-21,127.250000,128.380005,
5378100.000000,JNJ,128.070007,128.419998,127.970001,2017-03-20,128.070007,128.039993,
13193000.000000,JNJ,128.059998,128.940002,127.949997,2017-03-17,128.059998,128.449997,
7575200.000000,JNJ,128.460007,128.699997,127.769997,2017-03-16,128.460007,128.440002,
8207200.000000,JNJ,128.960007,129.000000,126.599998,2017-03-15,128.960007,127.050003,
7598700.000000,JNJ,127.050003,127.750000,126.769997,2017-03-14,127.050003,126.860001,
7002300.000000,JNJ,126.680000,126.949997,125.790001,2017-03-13,126.680000,125.830002,
7388500.000000,JNJ,126.209999,126.489998,125.540001,2017-03-10,126.209999,126.040001,
8547100.000000,JNJ,125.949997,126.209999,124.169998,2017-03-09,125.949997,124.580002,
7879100.000000,JNJ,124.099998,124.680000,123.500000,2017-03-08,124.099998,123.750000,
6508200.000000,JNJ,123.830002,124.459999,122.389999,2017-03-07,123.830002,122.580002,
6657000.000000,JNJ,123.709999,124.430000,122.599998,2017-03-06,123.709999,123.010002,
5585200.000000,JNJ,123.790001,123.930000,123.230003,2017-03-03,123.790001,123.629997,
6950200.000000,JNJ,123.629997,124.360001,123.019997,2017-03-02,123.629997,123.750000,
9393900.000000,JNJ,123.860001,124.449997,122.419998,2017-03-01,123.860001,122.489998,
8885500.000000,JNJ,122.209999,122.650002,121.940002,2017-02-28,122.209999,122.010002,
5946200.000000,JNJ,122.400002,122.879997,122.099998,2017-02-27,122.400002,122.129997,
10835000.000000,JNJ,122.730003,122.739998,120.900002,2017-02-24,122.730003,121.500000,
9980900.000000,JNJ,120.899995,121.900002,119.480003,2017-02-23,121.699997,119.519997,
5103900.000000,JNJ,118.734325,119.769997,119.250000,2017-02-22,119.519997,119.279999,
8595100.000000,JNJ,118.873412,119.889999,118.320000,2017-02-21,119.660004,118.400002,
8691400.000000,JNJ,118.078668,118.900002,118.050003,2017-02-17,118.860001,118.190002,
7119300.000000,JNJ,117.303796,118.279999,117.000000,2017-02-16,118.080002,117.000000,
5979700.000000,JNJ,116.429576,117.459999,115.589996,2017-02-15,117.199997,115.900002,
5539100.000000,JNJ,115.595101,116.400002,115.320000,2017-02-14,116.360001,115.440002,
5710800.000000,JNJ,115.118253,116.120003,115.220001,2017-02-13,115.879997,115.279999,
6438500.000000,JNJ,114.482461,115.989998,114.230003,2017-02-10,115.239998,114.320000,
