Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
14280800.000000,JPM,87.309998,87.669998,86.720001,2017-04-04,87.309998,86.889999,
19831800.000000,JPM,87.019996,88.169998,86.599998,2017-04-03,87.519997,87.989998,
16987600.000000,JPM,87.338168,88.739998,87.750000,2017-03-31,87.839996,88.709999,
11631000.000000,JPM,88.521372,89.459999,88.120003,2017-03-30,89.029999,88.199997,
10207600.000000,JPM,87.765711,88.820000,88.080002,2017-03-29,88.269997,88.599998,
16264400.000000,JPM,88.093828,89.019997,86.980003,2017-03-28,88.599998,87.019997,
16689300.000000,JPM,86.741597,87.400002,85.230003,2017-03-27,87.239998,85.529999,
16093200.000000,JPM,86.791314,88.089996,86.769997,2017-03-24,87.290001,87.790001,
16090100.000000,JPM,86.890742,88.500000,87.089996,2017-03-23,87.389999,87.209999,
21741000.000000,JPM,87.029941,88.070000,86.010002,2017-03-22,87.529999,86.889999,
33089200.000000,JPM,86.890742,90.639999,87.059998,2017-03-21,87.389999,90.360001,
14623600.000000,JPM,89.515659,91.169998,89.790001,2017-03-20,90.029999,90.269997,
21734700.000000,JPM,90.161947,92.040001,90.650002,2017-03-17,90.680000,91.830002,
14492000.000000,JPM,91.116461,92.809998,91.570000,2017-03-16,91.639999,92.029999,
16601400.000000,JPM,91.205951,92.550003,91.129997,2017-03-15,91.730003,91.800003,
10237700.000000,JPM,90.987207,91.650002,90.769997,2017-03-14,91.510002,91.019997,
10004300.000000,JPM,90.838062,91.779999,90.930000,2017-03-13,91.360001,91.309998,
13729900.000000,JPM,90.758517,92.000000,90.529999,2017-03-10,91.279999,91.949997,
13726200.000000,JPM,91.046862,92.139999,91.150002,2017-03-09,91.570000,91.599998,
17378400.000000,JPM,90.688918,92.849998,91.099998,2017-03-08,91.209999,92.680000,
11156800.000000,JPM,90.887780,92.089996,91.209999,2017-03-07,91.410004,91.639999,
15059200.000000,JPM,91.394861,92.320000,91.099998,2017-03-06,91.919998,92.250000,
12817500.000000,JPM,92.269838,93.110001,92.139999,2017-03-03,92.800003,92.139999,
16862500.000000,JPM,91.613605,93.919998,92.029999,2017-03-02,92.139999,93.870003,
24451400.000000,JPM,93.065263,93.980003,92.610001,2017-03-01,93.599998,92.790001,
15183500.000000,JPM,90.102292,90.820000,89.589996,2017-02-28,90.620003,89.849998,
12361000.000000,JPM,89.913375,90.730003,90.019997,2017-02-27,90.430000,90.320000,
15062300.000000,JPM,89.813948,90.540001,89.730003,2017-02-24,90.330002,90.180000,
11067000.000000,JPM,90.609373,91.339996,90.519997,2017-02-23,91.129997,91.180000,
11839000.000000,JPM,90.539773,91.300003,90.419998,2017-02-22,91.059998,90.519997,
14068300.000000,JPM,90.490063,91.150002,90.459999,2017-02-21,91.010002,90.510002,
15776600.000000,JPM,89.714521,90.470001,89.690002,2017-02-17,90.230003,89.820000,
17672700.000000,JPM,90.012802,91.040001,89.769997,2017-02-16,90.529999,90.400002,
17381800.000000,JPM,90.072457,90.870003,89.349998,2017-02-15,90.589996,90.080002,
17932100.000000,JPM,89.048343,89.699997,88.110001,2017-02-14,89.559998,88.300003,
18739100.000000,JPM,87.646402,88.739998,87.430000,2017-02-13,88.150002,87.440002,
10992500.000000,JPM,86.502970,87.480003,86.889999,2017-02-10,87.000000,87.480003,
13749100.000000,JPM,86.701825,87.330002,85.959999,2017-02-09,87.199997,85.959999,
13970900.000000,JPM,85.468911,86.309998,85.370003,2017-02-08,85.959999,86.180000,
9392800.000000,JPM,86.224571,87.400002,86.480003,2017-02-07,86.720001,87.139999,
11828400.000000,JPM,86.274281,87.449997,86.610001,2017-02-06,86.769997,86.790001,
