Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
10946200.000000,KO,42.680000,42.689999,42.369999,2017-04-04,42.680000,42.509998,
11240000.000000,KO,42.410000,42.630001,42.270000,2017-04-03,42.410000,42.580002,
11551800.000000,KO,42.439999,42.650002,42.430000,2017-03-31,42.439999,42.549999,
11999900.000000,KO,42.599998,42.619999,42.259998,2017-03-30,42.599998,42.349998,
9580100.000000,KO,42.419998,42.529999,42.290001,2017-03-29,42.419998,42.509998,
14123800.000000,KO,42.430000,42.560001,42.240002,2017-03-28,42.430000,42.240002,
12387400.000000,KO,42.320000,42.340000,42.049999,2017-03-27,42.320000,42.110001,
13804400.000000,KO,42.119999,42.250000,41.910000,2017-03-24,42.119999,42.230000,
11503300.000000,KO,42.169998,42.389999,42.060001,2017-03-23,42.169998,42.209999,
11605500.000000,KO,42.380001,42.700001,42.250000,2017-03-22,42.380001,42.560001,
17187300.000000,KO,42.500000,42.630001,42.209999,2017-03-21,42.500000,42.310001,
11484200.000000,KO,42.180000,42.340000,42.070000,2017-03-20,42.180000,42.099998,
37526500.000000,KO,42.029999,42.349998,42.009998,2017-03-17,42.029999,42.279999,
16004200.000000,KO,42.250000,42.389999,41.900002,2017-03-16,42.250000,42.029999,
22757800.000000,KO,42.119999,42.279999,41.970001,2017-03-15,42.119999,41.980000,
9844500.000000,KO,41.970001,42.099998,41.830002,2017-03-14,41.970001,41.980000,
12831500.000000,KO,42.029999,42.119999,41.840000,2017-03-13,42.029999,41.919998,
16369700.000000,KO,41.920000,42.400002,42.150002,2017-03-10,42.290001,42.230000,
14496400.000000,KO,41.662273,42.110001,41.919998,2017-03-09,42.029999,42.090000,
14636000.000000,KO,41.622626,42.029999,41.740002,2017-03-08,41.990002,42.000000,
11273700.000000,KO,41.622626,42.240002,41.950001,2017-03-07,41.990002,42.000000,
16307800.000000,KO,41.810962,42.430000,42.119999,2017-03-06,42.180000,42.340000,
11740000.000000,KO,42.108337,42.490002,42.250000,2017-03-03,42.480000,42.470001,
15507600.000000,KO,42.098426,42.560001,42.070000,2017-03-02,42.470001,42.080002,
14662000.000000,KO,41.791137,42.349998,41.880001,2017-03-01,42.160000,42.009998,
15946800.000000,KO,41.592886,42.070000,41.639999,2017-02-28,41.959999,41.680000,
