Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
3407100.000000,MCD,129.289993,129.529999,128.649994,2017-04-04,129.289993,129.139999,
3287100.000000,MCD,129.610001,129.710007,128.860001,2017-04-03,129.610001,129.500000,
3023900.000000,MCD,129.610001,130.190002,129.300003,2017-03-31,129.610001,129.389999,
2012800.000000,MCD,129.320007,129.529999,128.600006,2017-03-30,129.320007,128.750000,
3173000.000000,MCD,128.839996,129.669998,128.630005,2017-03-29,128.839996,129.000000,
3452200.000000,MCD,129.449997,129.770004,128.940002,2017-03-28,129.449997,129.460007,
2508700.000000,MCD,129.490005,129.820007,129.020004,2017-03-27,129.490005,129.080002,
3544000.000000,MCD,129.339996,129.679993,129.160004,2017-03-24,129.339996,129.380005,
2772300.000000,MCD,129.000000,129.589996,128.809998,2017-03-23,129.000000,129.139999,
3113000.000000,MCD,129.100006,129.149994,128.410004,2017-03-22,129.100006,128.580002,
4040000.000000,MCD,128.520004,129.750000,128.179993,2017-03-21,128.520004,129.220001,
3318700.000000,MCD,128.779999,129.479996,128.470001,2017-03-20,128.779999,128.990005,
12457900.000000,MCD,128.639999,129.979996,128.419998,2017-03-17,128.639999,128.570007,
3937800.000000,MCD,127.980003,128.899994,127.930000,2017-03-16,127.980003,128.300003,
3460300.000000,MCD,127.879997,128.300003,127.470001,2017-03-15,127.879997,128.210007,
2486400.000000,MCD,127.800003,128.229996,127.500000,2017-03-14,127.800003,127.650002,
3060800.000000,MCD,127.610001,128.270004,127.349998,2017-03-13,127.610001,128.009995,
3178900.000000,MCD,127.980003,128.589996,127.720001,2017-03-10,127.980003,128.559998,
3265700.000000,MCD,128.139999,128.720001,127.690002,2017-03-09,128.139999,127.949997,
3571700.000000,MCD,128.089996,128.360001,127.470001,2017-03-08,128.089996,128.070007,
3280900.000000,MCD,128.070007,128.309998,127.339996,2017-03-07,128.070007,128.059998,
3265700.000000,MCD,128.029999,128.339996,127.400002,2017-03-06,128.029999,127.900002,
4067700.000000,MCD,127.900002,128.660004,127.440002,2017-03-03,127.900002,128.229996,
6738100.000000,MCD,128.229996,129.809998,128.149994,2017-03-02,128.229996,129.050003,
5471600.000000,MCD,129.050003,130.000000,127.620003,2017-03-01,129.050003,128.020004,
4619300.000000,MCD,127.650002,127.930000,126.580002,2017-02-28,127.650002,127.080002,
5184000.000000,MCD,126.989998,127.750000,126.779999,2017-02-27,126.989998,127.680000,
3537200.000000,MCD,127.709995,128.740005,127.750000,2017-02-24,128.649994,128.360001,
3178000.000000,MCD,127.332782,128.899994,127.440002,2017-02-23,128.270004,127.930000,
3670700.000000,MCD,126.915845,128.110001,126.400002,2017-02-22,127.849998,127.519997,
4495200.000000,MCD,127.104452,128.320007,127.160004,2017-02-21,128.039993,127.160004,
3677400.000000,MCD,126.866215,127.879997,126.680000,2017-02-17,127.800003,126.779999,
3006000.000000,MCD,125.774246,127.820000,126.309998,2017-02-16,126.699997,126.750000,
2974900.000000,MCD,125.555860,126.790001,125.449997,2017-02-15,126.480003,125.660004,
2663100.000000,MCD,124.890750,126.070000,125.269997,2017-02-14,125.809998,125.500000,
2993800.000000,MCD,124.622726,126.680000,125.489998,2017-02-13,125.540001,126.019997,
3681400.000000,MCD,124.900679,126.110001,124.519997,2017-02-10,125.820000,124.680000,
2493600.000000,MCD,123.570473,125.000000,124.360001,2017-02-09,124.480003,124.669998,
2835200.000000,MCD,123.759080,125.360001,124.489998,2017-02-08,124.669998,124.580002,
2847200.000000,MCD,123.679663,125.419998,124.589996,2017-02-07,124.589996,124.949997,
2760300.000000,MCD,123.540686,124.900002,123.949997,2017-02-06,124.449997,124.089996,
3183000.000000,MCD,123.332221,124.510002,123.279999,2017-02-03,124.239998,123.309998,
3236600.000000,MCD,122.319678,123.980003,122.260002,2017-02-02,123.220001,122.540001,
3233400.000000,MCD,121.525520,122.500000,121.699997,2017-02-01,122.419998,121.900002,
3733300.000000,MCD,121.674425,123.339996,122.099998,2017-01-31,122.570000,123.019997,
3778000.000000,MCD,122.121134,123.209999,122.300003,2017-01-30,123.019997,122.809998,
3592700.000000,MCD,121.962307,122.989998,121.480003,2017-01-27,122.860001,122.269997,
2497300.000000,MCD,120.989465,122.379997,121.760002,2017-01-26,121.879997,121.860001,
3968300.000000,MCD,120.900126,121.919998,120.949997,2017-01-25,121.790001,121.489998,
3495200.000000,MCD,120.165535,122.059998,120.519997,2017-01-24,121.050003,121.970001,
7022600.000000,MCD,120.493118,122.080002,119.820000,2017-01-23,121.379997,121.690002,
4887100.000000,MCD,121.366693,122.949997,122.019997,2017-01-20,122.260002,122.260002,
3155200.000000,MCD,121.287276,123.000000,122.040001,2017-01-19,122.180000,122.239998,
3395000.000000,MCD,121.813402,123.000000,121.800003,2017-01-18,122.709999,122.809998,
4077600.000000,MCD,121.853111,122.800003,120.699997,2017-01-17,122.750000,120.750000,
2877400.000000,MCD,120.612244,122.239998,121.099998,2017-01-13,121.500000,122.239998,
3480700.000000,MCD,121.207858,122.309998,120.199997,2017-01-12,122.099998,120.300003,
3565200.000000,MCD,119.996771,121.500000,120.620003,2017-01-11,120.879997,120.930000,
