Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
1332200.000000,MMM,190.190002,190.979996,189.779999,2017-04-04,190.190002,190.570007,
1529400.000000,MMM,190.720001,192.169998,189.949997,2017-04-03,190.720001,191.869995,
1728600.000000,MMM,191.330002,192.399994,190.990005,2017-03-31,191.330002,191.300003,
1826300.000000,MMM,191.279999,191.490005,190.100006,2017-03-30,191.279999,190.740005,
1666600.000000,MMM,190.679993,191.279999,190.259995,2017-03-29,190.679993,190.589996,
2319100.000000,MMM,190.990005,191.490005,189.600006,2017-03-28,190.990005,189.940002,
1979300.000000,MMM,190.429993,191.000000,189.160004,2017-03-27,190.429993,190.699997,
1417700.000000,MMM,191.509995,192.619995,190.899994,2017-03-24,191.509995,192.119995,
1458300.000000,MMM,192.139999,192.970001,191.229996,2017-03-23,192.139999,192.119995,
1587500.000000,MMM,192.220001,192.880005,190.460007,2017-03-22,192.220001,192.300003,
1868800.000000,MMM,192.130005,193.490005,191.509995,2017-03-21,192.130005,193.490005,
2013200.000000,MMM,193.009995,193.500000,192.279999,2017-03-20,193.009995,192.520004,
4191500.000000,MMM,192.360001,192.360001,190.350006,2017-03-17,192.360001,190.820007,
1931100.000000,MMM,190.309998,191.639999,189.639999,2017-03-16,190.309998,191.059998,
1986600.000000,MMM,191.199997,191.860001,189.720001,2017-03-15,191.199997,190.179993,
1892700.000000,MMM,190.330002,191.440002,189.110001,2017-03-14,190.330002,190.929993,
1841800.000000,MMM,191.520004,191.960007,190.460007,2017-03-13,191.520004,191.770004,
2440500.000000,MMM,191.210007,191.240005,190.029999,2017-03-10,191.210007,190.639999,
1554800.000000,MMM,189.899994,190.389999,189.169998,2017-03-09,189.899994,189.250000,
1563700.000000,MMM,189.509995,190.210007,188.970001,2017-03-08,189.509995,189.720001,
1643400.000000,MMM,189.089996,189.259995,188.250000,2017-03-07,189.089996,188.289993,
1656600.000000,MMM,188.899994,189.240005,188.270004,2017-03-06,188.899994,188.929993,
1627400.000000,MMM,189.309998,190.240005,188.539993,2017-03-03,189.309998,189.889999,
1761900.000000,MMM,189.889999,190.100006,189.029999,2017-03-02,189.889999,189.460007,
2192300.000000,MMM,189.860001,190.539993,188.009995,2017-03-01,189.860001,188.080002,
1923200.000000,MMM,186.350006,187.500000,186.309998,2017-02-28,186.350006,186.729996,
1392600.000000,MMM,186.910004,187.550003,186.380005,2017-02-27,186.910004,187.500000,
2117300.000000,MMM,187.410004,188.410004,186.300003,2017-02-24,187.410004,186.820007,
2385000.000000,MMM,187.190002,187.460007,185.710007,2017-02-23,187.190002,185.910004,
2841900.000000,MMM,186.039993,186.119995,183.080002,2017-02-22,186.039993,183.399994,
1497700.000000,MMM,183.369995,183.619995,182.039993,2017-02-21,183.369995,182.789993,
1960200.000000,MMM,182.949997,183.600006,182.529999,2017-02-17,182.949997,183.429993,
2158700.000000,MMM,183.410004,183.460007,181.619995,2017-02-16,183.410004,181.750000,
1737400.000000,MMM,181.699997,181.830002,180.149994,2017-02-15,181.699997,180.300003,
2035900.000000,MMM,180.425006,182.000000,180.649994,2017-02-14,181.600006,180.860001,
1929800.000000,MMM,179.848757,181.380005,179.259995,2017-02-13,181.020004,179.860001,
1392400.000000,MMM,177.841823,179.580002,178.190002,2017-02-10,179.000000,178.300003,
2009700.000000,MMM,177.027121,178.550003,176.869995,2017-02-09,178.179993,176.869995,
2145700.000000,MMM,175.924318,177.600006,175.490005,2017-02-08,177.070007,175.619995,
1247400.000000,MMM,174.622781,176.399994,175.149994,2017-02-07,175.759995,176.080002,
1622800.000000,MMM,173.967063,176.199997,173.899994,2017-02-06,175.100006,174.119995,
2820500.000000,MMM,173.907438,175.300003,173.850006,2017-02-03,175.039993,174.020004,
3106800.000000,MMM,173.053002,174.779999,173.550003,2017-02-02,174.179993,174.130005,
2272900.000000,MMM,174.036602,175.800003,174.300003,2017-02-01,175.169998,175.169998,
1845500.000000,MMM,173.688876,175.460007,173.809998,2017-01-31,174.820007,174.740005,
1823100.000000,MMM,174.284985,177.729996,174.869995,2017-01-30,175.419998,177.250000,
1623700.000000,MMM,176.331653,177.979996,176.830002,2017-01-27,177.479996,177.479996,
2235900.000000,MMM,175.675935,177.229996,176.039993,2017-01-26,176.820007,176.309998,
3462600.000000,MMM,175.586506,178.630005,176.570007,2017-01-25,176.729996,177.089996,
3473200.000000,MMM,174.831429,177.759995,174.419998,2017-01-24,175.970001,177.500000,
1986800.000000,MMM,177.354988,178.990005,177.130005,2017-01-23,178.509995,177.910004,
1761900.000000,MMM,177.335128,179.460007,177.830002,2017-01-20,178.490005,179.199997,
1464400.000000,MMM,177.523886,179.800003,177.759995,2017-01-19,178.679993,179.250000,
1804600.000000,MMM,177.335128,179.440002,177.380005,2017-01-18,178.490005,177.899994,
1557500.000000,MMM,176.113076,177.679993,176.250000,2017-01-17,177.259995,177.000000,
1265500.000000,MMM,176.242239,177.910004,176.830002,2017-01-13,177.389999,177.580002,
1321800.000000,MMM,176.291919,177.699997,175.750000,2017-01-12,177.440002,176.970001,
1579600.000000,MMM,176.739004,178.449997,176.389999,2017-01-11,177.889999,176.630005,
2030100.000000,MMM,175.437483,177.490005,176.309998,2017-01-10,176.580002,177.360001,
1617800.000000,MMM,176.123021,178.380005,177.199997,2017-01-09,177.270004,178.369995,
