Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
6345600.000000,MRK,63.669998,63.770000,63.369999,2017-04-04,63.669998,63.590000,
6643600.000000,MRK,63.470001,63.709999,63.220001,2017-04-03,63.470001,63.430000,
7614000.000000,MRK,63.540001,63.630001,63.250000,2017-03-31,63.540001,63.259998,
5322000.000000,MRK,63.450001,63.680000,63.320000,2017-03-30,63.450001,63.500000,
8135300.000000,MRK,63.639999,64.110001,63.459999,2017-03-29,63.639999,63.669998,
10185000.000000,MRK,63.340000,63.400002,62.880001,2017-03-28,63.340000,63.200001,
8015900.000000,MRK,63.189999,63.410000,62.810001,2017-03-27,63.189999,62.919998,
9136500.000000,MRK,63.180000,63.529999,62.860001,2017-03-24,63.180000,63.160000,
9461000.000000,MRK,63.279999,63.820000,63.189999,2017-03-23,63.279999,63.360001,
9549000.000000,MRK,63.500000,64.110001,63.250000,2017-03-22,63.500000,63.980000,
10550700.000000,MRK,63.910000,64.610001,63.619999,2017-03-21,63.910000,64.320000,
12971200.000000,MRK,64.110001,64.300003,64.000000,2017-03-20,64.110001,64.139999,
14449200.000000,MRK,63.900002,64.699997,63.889999,2017-03-17,63.900002,64.250000,
9613200.000000,MRK,64.180000,64.790001,63.990002,2017-03-16,64.180000,64.570000,
9025000.000000,MRK,64.699997,64.970001,64.220001,2017-03-15,64.699997,64.400002,
7892900.000000,MRK,64.199997,64.510002,64.050003,2017-03-14,64.199997,64.129997,
14198600.000000,MRK,64.150002,65.290001,64.010002,2017-03-13,64.150002,65.239998,
8823900.000000,MRK,65.129997,66.199997,65.500000,2017-03-10,65.599998,66.070000,
7735000.000000,MRK,65.417920,66.029999,65.519997,2017-03-09,65.889999,65.970001,
8417600.000000,MRK,65.328569,66.120003,65.269997,2017-03-08,65.800003,65.959999,
8328700.000000,MRK,65.487418,66.309998,65.190002,2017-03-07,65.959999,65.430000,
8687500.000000,MRK,65.993766,66.779999,65.900002,2017-03-06,66.470001,66.080002,
8316900.000000,MRK,66.102979,66.620003,65.809998,2017-03-03,66.580002,66.080002,
8647700.000000,MRK,65.606561,66.580002,66.000000,2017-03-02,66.080002,66.379997,
10680700.000000,MRK,65.735627,66.800003,65.889999,2017-03-01,66.209999,66.070000,
7740500.000000,MRK,65.398067,66.150002,65.650002,2017-02-28,65.870003,65.809998,
7133800.000000,MRK,65.378206,65.940002,65.559998,2017-02-27,65.849998,65.779999,
8444300.000000,MRK,65.685990,66.160004,65.629997,2017-02-24,66.160004,65.650002,
6855600.000000,MRK,65.378206,66.110001,65.349998,2017-02-23,65.849998,65.519997,
8679600.000000,MRK,64.822220,65.750000,65.089996,2017-02-22,65.290001,65.500000,
7386100.000000,MRK,65.010862,65.779999,64.900002,2017-02-21,65.480003,64.900002,
9048300.000000,MRK,64.921502,65.559998,64.860001,2017-02-17,65.389999,65.199997,
12346300.000000,MRK,64.792437,65.410004,64.459999,2017-02-16,65.260002,65.139999,
17807300.000000,MRK,64.693155,65.870003,64.849998,2017-02-15,65.160004,64.900002,
10142700.000000,MRK,65.189572,65.720001,64.430000,2017-02-14,65.660004,64.639999,
7151100.000000,MRK,64.305942,64.830002,64.220001,2017-02-13,64.769997,64.250000,
8531400.000000,MRK,63.690389,64.570000,63.959999,2017-02-10,64.150002,64.320000,
7052900.000000,MRK,63.928667,64.820000,64.300003,2017-02-09,64.389999,64.320000,
5906800.000000,MRK,63.859169,64.480003,63.830002,2017-02-08,64.320000,63.900002,
8435300.000000,MRK,63.740026,64.930000,64.050003,2017-02-07,64.199997,64.760002,
9158800.000000,MRK,64.474730,64.949997,63.900002,2017-02-06,64.940002,63.919998,
11650500.000000,MRK,63.829385,64.330002,63.270000,2017-02-03,64.290001,63.860001,
18990200.000000,MRK,63.720173,64.209999,62.529999,2017-02-02,64.180000,62.639999,
11018800.000000,MRK,61.655073,62.270000,61.560001,2017-02-01,62.099998,62.060001,
9821100.000000,MRK,61.545865,62.240002,60.919998,2017-01-31,61.990002,61.060001,
7853600.000000,MRK,60.989875,61.709999,60.930000,2017-01-30,61.430000,61.520000,
6653200.000000,MRK,61.307582,61.990002,61.299999,2017-01-27,61.750000,61.380001,
12707500.000000,MRK,60.761524,61.360001,60.540001,2017-01-26,61.200001,61.020000,
14557000.000000,MRK,60.642385,61.380001,60.759998,2017-01-25,61.080002,61.320000,
10487500.000000,MRK,60.771450,61.689999,60.730000,2017-01-24,61.209999,61.590000,
10201700.000000,MRK,61.367154,62.400002,61.630001,2017-01-23,61.810001,61.810001,
25240300.000000,MRK,62.081993,62.919998,62.150002,2017-01-20,62.529999,62.400002,
11397900.000000,MRK,59.897758,61.080002,60.070000,2017-01-19,60.330002,61.049999,
8131700.000000,MRK,60.731736,61.779999,61.080002,2017-01-18,61.169998,61.380001,
10592700.000000,MRK,61.039516,62.070000,61.200001,2017-01-17,61.480000,61.919998,
9969100.000000,MRK,61.893355,62.680000,62.099998,2017-01-13,62.340000,62.330002,
24885400.000000,MRK,61.764286,63.240002,62.119999,2017-01-12,62.209999,62.529999,
32711700.000000,MRK,61.188443,63.160000,60.750000,2017-01-11,61.630001,62.340000,
15302200.000000,MRK,59.490692,61.240002,59.889999,2017-01-10,59.919998,61.200001,
9698400.000000,MRK,60.662238,61.480000,60.080002,2017-01-09,61.099998,60.299999,
10238600.000000,MRK,59.838187,60.459999,59.529999,2017-01-06,60.270000,60.090000,
10096800.000000,MRK,59.679333,60.580002,60.000000,2017-01-05,60.110001,60.220001,
9411900.000000,MRK,59.699190,60.790001,60.040001,2017-01-04,60.130001,60.500000,
11988700.000000,MRK,59.719047,60.380001,59.049999,2017-01-03,60.150002,59.150002,
10772600.000000,MRK,58.448216,58.950001,58.560001,2016-12-30,58.869999,58.779999,
6520100.000000,MRK,58.617000,59.590000,58.980000,2016-12-29,59.040001,59.290001,
6174600.000000,MRK,58.845351,59.860001,59.209999,2016-12-28,59.270000,59.720001,
5815600.000000,MRK,59.361626,60.139999,59.560001,2016-12-27,59.790001,59.869999,
7591500.000000,MRK,59.133274,59.860001,59.250000,2016-12-23,59.560001,59.770000,
10100000.000000,MRK,59.153132,60.000000,59.160000,2016-12-22,59.580002,59.619999,
12052200.000000,MRK,59.004205,60.810001,59.340000,2016-12-21,59.430000,60.590000,
10377100.000000,MRK,60.066538,61.680000,60.369999,2016-12-20,60.500000,61.189999,
11939000.000000,MRK,60.701952,62.270000,60.869999,2016-12-19,61.139999,61.799999,
17563700.000000,MRK,61.992637,63.029999,62.049999,2016-12-16,62.439999,62.660000,
8509400.000000,MRK,61.923139,62.639999,61.840000,2016-12-15,62.369999,62.000000,
11080700.000000,MRK,61.357223,62.759998,61.590000,2016-12-14,61.799999,61.849998,
7842200.000000,MRK,61.347297,61.959999,61.250000,2016-12-13,61.790001,61.799999,
8246000.000000,MRK,60.811169,62.099998,61.299999,2016-12-12,61.720001,61.439999,
10516400.000000,MRK,60.328382,61.509998,60.400002,2016-12-09,61.230000,60.490002,
8586600.000000,MRK,59.234727,60.360001,59.500000,2016-12-08,60.119999,59.730000,
14049600.000000,MRK,59.175613,60.060001,58.619999,2016-12-07,60.060001,59.700001,
10659600.000000,MRK,59.392370,60.389999,59.610001,2016-12-06,60.279999,60.180000,
12985200.000000,MRK,59.362813,61.529999,59.840000,2016-12-05,60.250000,61.520000,
7993100.000000,MRK,60.229856,61.520000,60.630001,2016-12-02,61.130001,61.049999,
8398900.000000,MRK,59.865302,61.369999,60.650002,2016-12-01,60.759998,61.299999,
12530700.000000,MRK,60.288970,62.320000,60.990002,2016-11-30,61.189999,62.310001,
10034900.000000,MRK,61.274245,62.459999,61.919998,2016-11-29,62.189999,61.950001,
7449400.000000,MRK,60.889989,62.060001,61.619999,2016-11-28,61.799999,61.779999,
3501300.000000,MRK,61.293951,62.400002,61.750000,2016-11-25,62.209999,61.820000,
9149000.000000,MRK,60.732345,61.700001,59.820000,2016-11-23,61.639999,60.330002,
9592200.000000,MRK,60.791463,62.650002,61.209999,2016-11-22,61.700001,62.500000,
6836700.000000,MRK,61.382626,62.389999,61.720001,2016-11-21,62.299999,61.939999,
7696900.000000,MRK,60.958958,62.619999,61.730000,2016-11-18,61.869999,62.570000,
8361300.000000,MRK,61.776738,62.790001,62.119999,2016-11-17,62.700001,62.509998,
10780200.000000,MRK,61.707769,63.950001,62.450001,2016-11-16,62.630001,63.700001,
7290400.000000,MRK,62.712750,63.730000,63.080002,2016-11-15,63.650002,63.680000,
10124500.000000,MRK,62.594514,64.089996,63.240002,2016-11-14,63.529999,64.000000,
14059700.000000,MRK,63.008331,64.510002,63.580002,2016-11-11,63.950001,64.080002,
17862300.000000,MRK,64.003457,65.459999,64.519997,2016-11-10,64.959999,64.540001,
27851100.000000,MRK,63.234944,65.000000,62.759998,2016-11-09,64.180000,63.959999,
7942100.000000,MRK,59.618983,60.779999,59.520000,2016-11-08,60.509998,59.820000,
10478300.000000,MRK,59.165758,60.209999,59.480000,2016-11-07,60.049999,59.520000,
11318600.000000,MRK,57.953870,59.270000,58.610001,2016-11-04,58.820000,58.689999,
11323000.000000,MRK,57.569613,59.220001,58.290001,2016-11-03,58.430000,59.180000,
10724700.000000,MRK,57.973576,59.509998,58.750000,2016-11-02,58.840000,59.060001,
14347400.000000,MRK,58.426801,59.590000,58.509998,2016-11-01,59.299999,59.000000,
14254800.000000,MRK,57.855344,59.150002,58.369999,2016-10-31,58.720001,59.090000,
20358400.000000,MRK,57.973576,61.070000,58.450001,2016-10-28,58.840000,61.020000,
10350700.000000,MRK,60.387500,62.060001,61.000000,2016-10-27,61.290001,61.150002,
9957800.000000,MRK,59.973683,61.849998,60.549999,2016-10-26,60.869999,61.740002,
15188500.000000,MRK,61.037781,62.189999,59.549999,2016-10-25,61.950001,60.270000,
9943000.000000,MRK,59.855451,61.480000,60.639999,2016-10-24,60.750000,61.400002,
7406700.000000,MRK,60.298825,61.900002,61.029999,2016-10-21,61.200001,61.549999,
6323400.000000,MRK,61.008221,62.270000,61.689999,2016-10-20,61.919998,61.950001,
5582700.000000,MRK,60.958958,62.299999,61.810001,2016-10-19,61.869999,62.130001,
9988000.000000,MRK,61.175719,62.619999,61.830002,2016-10-18,62.090000,61.900002,
13054600.000000,MRK,60.614113,62.049999,60.799999,2016-10-17,61.520000,62.049999,
12204200.000000,MRK,61.224982,62.860001,62.130001,2016-10-14,62.139999,62.720001,
14541500.000000,MRK,61.589533,62.950001,61.939999,2016-10-13,62.509998,62.250000,
10121900.000000,MRK,60.752051,62.630001,61.580002,2016-10-12,61.660000,62.400002,
13955400.000000,MRK,61.018076,63.549999,61.750000,2016-10-11,61.930000,63.529999,
20345900.000000,MRK,62.959068,64.860001,63.439999,2016-10-10,63.900002,64.209999,
10775200.000000,MRK,61.845707,62.990002,62.029999,2016-10-07,62.770000,62.770000,
11430500.000000,MRK,61.737326,62.689999,61.740002,2016-10-06,62.660000,62.490002,
7871300.000000,MRK,61.875264,63.040001,62.480000,2016-10-05,62.799999,62.700001,
7897400.000000,MRK,61.540270,62.950001,61.939999,2016-10-04,62.459999,62.480000,
