Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
12981200.000000,MSFT,65.730003,65.809998,65.279999,2017-04-04,65.730003,65.389999,
20352800.000000,MSFT,65.550003,65.940002,65.190002,2017-04-03,65.550003,65.809998,
21001100.000000,MSFT,65.860001,66.190002,65.449997,2017-03-31,65.860001,65.650002,
15100400.000000,MSFT,65.709999,65.980003,65.360001,2017-03-30,65.709999,65.419998,
13512400.000000,MSFT,65.470001,65.500000,64.949997,2017-03-29,65.470001,65.120003,
20039300.000000,MSFT,65.290001,65.470001,64.650002,2017-03-28,65.290001,64.959999,
18550200.000000,MSFT,65.099998,65.220001,64.349998,2017-03-27,65.099998,64.629997,
22373200.000000,MSFT,64.980003,65.449997,64.760002,2017-03-24,64.980003,65.360001,
18819600.000000,MSFT,64.870003,65.239998,64.769997,2017-03-23,64.870003,64.940002,
20632800.000000,MSFT,65.029999,65.139999,64.120003,2017-03-22,65.029999,64.120003,
26191800.000000,MSFT,64.209999,65.500000,64.129997,2017-03-21,64.209999,65.190002,
12744200.000000,MSFT,64.930000,65.180000,64.720001,2017-03-20,64.930000,64.910004,
48994700.000000,MSFT,64.870003,65.239998,64.680000,2017-03-17,64.870003,64.910004,
20532600.000000,MSFT,64.639999,64.760002,64.300003,2017-03-16,64.639999,64.750000,
20501900.000000,MSFT,64.750000,64.919998,64.250000,2017-03-15,64.750000,64.550003,
14263700.000000,MSFT,64.410004,64.550003,64.150002,2017-03-14,64.410004,64.529999,
19551800.000000,MSFT,64.709999,65.190002,64.570000,2017-03-13,64.709999,65.010002,
19528300.000000,MSFT,64.930000,65.260002,64.750000,2017-03-10,64.930000,65.110001,
19772700.000000,MSFT,64.730003,65.199997,64.480003,2017-03-09,64.730003,65.190002,
20961700.000000,MSFT,64.989998,65.080002,64.250000,2017-03-08,64.989998,64.260002,
18300700.000000,MSFT,64.400002,64.779999,64.190002,2017-03-07,64.400002,64.190002,
17487700.000000,MSFT,64.269997,64.559998,63.810001,2017-03-06,64.269997,63.970001,
18135900.000000,MSFT,64.250000,64.279999,63.619999,2017-03-03,64.250000,63.990002,
24510900.000000,MSFT,64.010002,64.750000,63.880001,2017-03-02,64.010002,64.690002,
26763800.000000,MSFT,64.940002,64.989998,64.019997,2017-03-01,64.940002,64.129997,
23043900.000000,MSFT,63.980000,64.199997,63.759998,2017-02-28,63.980000,64.080002,
15850400.000000,MSFT,64.230003,64.540001,64.050003,2017-02-27,64.230003,64.540001,
21705200.000000,MSFT,64.620003,64.800003,64.139999,2017-02-24,64.620003,64.529999,
20235200.000000,MSFT,64.620003,64.730003,64.190002,2017-02-23,64.620003,64.419998,
19259700.000000,MSFT,64.360001,64.389999,64.050003,2017-02-22,64.360001,64.330002,
19384900.000000,MSFT,64.489998,64.949997,64.449997,2017-02-21,64.489998,64.610001,
21234600.000000,MSFT,64.620003,64.690002,64.300003,2017-02-17,64.620003,64.470001,
20524700.000000,MSFT,64.519997,65.239998,64.440002,2017-02-16,64.519997,64.739998,
16917000.000000,MSFT,64.529999,64.570000,64.160004,2017-02-15,64.529999,64.500000,
23065900.000000,MSFT,64.570000,64.720001,64.019997,2017-02-14,64.570000,64.410004,
22920100.000000,MSFT,64.330000,64.860001,64.129997,2017-02-13,64.720001,64.239998,
18170700.000000,MSFT,63.614338,64.300003,63.980000,2017-02-10,64.000000,64.250000,
22644400.000000,MSFT,63.673974,64.440002,63.320000,2017-02-09,64.059998,63.520000,
18096400.000000,MSFT,62.958315,63.810001,63.220001,2017-02-08,63.340000,63.570000,
20277200.000000,MSFT,63.047773,63.779999,63.230000,2017-02-07,63.430000,63.740002,
19796400.000000,MSFT,63.256507,63.650002,63.139999,2017-02-06,63.639999,63.500000,
30301800.000000,MSFT,63.296267,63.700001,63.070000,2017-02-03,63.680000,63.500000,
45827000.000000,MSFT,62.789338,63.410000,62.750000,2017-02-02,63.169998,63.250000,
39671500.000000,MSFT,63.196871,64.620003,63.470001,2017-02-01,63.580002,64.360001,
25270500.000000,MSFT,64.260423,65.150002,64.260002,2017-01-31,64.650002,64.860001,
31651400.000000,MSFT,64.737526,65.790001,64.800003,2017-01-30,65.129997,65.690002,
44818000.000000,MSFT,65.383610,65.910004,64.889999,2017-01-27,65.779999,65.389999,
43554600.000000,MSFT,63.882708,64.540001,63.549999,2017-01-26,64.269997,64.120003,
23672700.000000,MSFT,63.296267,64.099998,63.450001,2017-01-25,63.680000,63.950001,
24672900.000000,MSFT,63.137231,63.740002,62.939999,2017-01-24,63.520000,63.200001,
23097600.000000,MSFT,62.580604,63.119999,62.570000,2017-01-23,62.959999,62.700001,
30213500.000000,MSFT,62.361932,62.820000,62.369999,2017-01-20,62.740002,62.669998,
18451700.000000,MSFT,61.924581,62.980000,62.200001,2017-01-19,62.299999,62.240002,
