Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
8829800.000000,NKE,55.040001,55.299999,54.830002,2017-04-04,55.040001,55.150002,
7078000.000000,NKE,55.560001,55.799999,55.150002,2017-04-03,55.560001,55.740002,
5903600.000000,NKE,55.730000,56.029999,55.650002,2017-03-31,55.730000,56.000000,
7193300.000000,NKE,56.040001,56.599998,55.810001,2017-03-30,56.040001,56.480000,
7407000.000000,NKE,56.680000,57.099998,56.349998,2017-03-29,56.680000,56.410000,
7772900.000000,NKE,56.619999,56.779999,55.790001,2017-03-28,56.619999,55.990002,
8557200.000000,NKE,55.930000,56.250000,55.540001,2017-03-27,55.930000,55.639999,
14042600.000000,NKE,56.360001,56.639999,55.119999,2017-03-24,56.360001,55.290001,
22472800.000000,NKE,55.369999,55.549999,54.520000,2017-03-23,55.369999,54.610001,
37267800.000000,NKE,53.919998,55.000000,53.759998,2017-03-22,53.919998,54.759998,
14001200.000000,NKE,58.009998,59.000000,57.720001,2017-03-21,58.009998,58.779999,
13165000.000000,NKE,58.680000,58.810001,57.959999,2017-03-20,58.680000,58.000000,
10738200.000000,NKE,57.799999,57.889999,57.310001,2017-03-17,57.799999,57.770000,
9882200.000000,NKE,57.599998,57.720001,56.830002,2017-03-16,57.599998,57.430000,
9925300.000000,NKE,57.660000,57.990002,56.750000,2017-03-15,57.660000,57.630001,
9266500.000000,NKE,57.279999,58.009998,56.720001,2017-03-14,57.279999,56.869999,
7172400.000000,NKE,56.669998,56.820000,56.110001,2017-03-13,56.669998,56.430000,
8819900.000000,NKE,56.430000,56.990002,56.259998,2017-03-10,56.430000,56.490002,
6139800.000000,NKE,56.360001,56.660000,56.090000,2017-03-09,56.360001,56.610001,
7585000.000000,NKE,56.509998,56.939999,56.310001,2017-03-08,56.509998,56.939999,
7061500.000000,NKE,56.549999,56.990002,56.020000,2017-03-07,56.549999,56.709999,
6890100.000000,NKE,56.770000,56.930000,56.529999,2017-03-06,56.770000,56.700001,
9181600.000000,NKE,56.700001,57.799999,56.509998,2017-03-03,56.700001,57.799999,
6438400.000000,NKE,57.799999,58.250000,57.650002,2017-03-02,57.799999,57.900002,
8558900.000000,NKE,57.770001,58.029999,57.330002,2017-03-01,57.950001,57.860001,
7951300.000000,NKE,56.982454,57.549999,56.860001,2017-02-28,57.160000,57.369999,
4375700.000000,NKE,57.510807,57.830002,57.349998,2017-02-27,57.689999,57.650002,
9684500.000000,NKE,57.680281,58.419998,57.070000,2017-02-24,57.860001,57.389999,
12316300.000000,NKE,57.211739,58.400002,57.270000,2017-02-23,57.389999,58.110001,
10914100.000000,NKE,58.059101,58.380001,57.360001,2017-02-22,58.240002,57.480000,
10955000.000000,NKE,57.181834,57.450001,56.200001,2017-02-21,57.360001,56.380001,
12638000.000000,NKE,56.573728,56.799999,55.860001,2017-02-17,56.750000,56.119999,
8374200.000000,NKE,56.115158,56.919998,56.099998,2017-02-16,56.290001,56.880001,
6652000.000000,NKE,56.464069,56.759998,56.209999,2017-02-15,56.639999,56.290001,
