Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
19268900.000000,PFE,34.340000,34.500000,34.049999,2017-04-04,34.340000,34.180000,
18039400.000000,PFE,34.240002,34.349998,34.099998,2017-04-03,34.240002,34.110001,
18583000.000000,PFE,34.209999,34.380001,34.160000,2017-03-31,34.209999,34.209999,
14963400.000000,PFE,34.349998,34.439999,34.150002,2017-03-30,34.349998,34.189999,
16787700.000000,PFE,34.330002,34.450001,34.110001,2017-03-29,34.330002,34.160000,
18214700.000000,PFE,34.160000,34.259998,33.970001,2017-03-28,34.160000,34.060001,
17818300.000000,PFE,34.180000,34.310001,33.740002,2017-03-27,34.180000,33.740002,
26592800.000000,PFE,34.000000,34.270000,33.939999,2017-03-24,34.000000,34.270000,
20192500.000000,PFE,34.290001,34.560001,34.230000,2017-03-23,34.290001,34.320000,
26084600.000000,PFE,34.470001,34.540001,33.990002,2017-03-22,34.470001,34.299999,
31269600.000000,PFE,34.250000,34.610001,34.180000,2017-03-21,34.250000,34.480000,
16582200.000000,PFE,34.380001,34.500000,34.320000,2017-03-20,34.380001,34.400002,
42216400.000000,PFE,34.320000,34.580002,34.270000,2017-03-17,34.320000,34.459999,
20375800.000000,PFE,34.430000,34.630001,34.250000,2017-03-16,34.430000,34.570000,
20168700.000000,PFE,34.630001,34.700001,34.180000,2017-03-15,34.630001,34.220001,
14572000.000000,PFE,34.220001,34.330002,33.980000,2017-03-14,34.220001,34.020000,
18660900.000000,PFE,34.110001,34.150002,33.910000,2017-03-13,34.110001,34.139999,
18947100.000000,PFE,34.110001,34.320000,34.000000,2017-03-10,34.110001,34.139999,
19162000.000000,PFE,34.049999,34.139999,33.779999,2017-03-09,34.049999,33.880001,
22563600.000000,PFE,33.910000,34.099998,33.720001,2017-03-08,33.910000,33.910000,
28149600.000000,PFE,33.990002,34.200001,33.750000,2017-03-07,33.990002,33.869999,
18046700.000000,PFE,34.349998,34.470001,34.080002,2017-03-06,34.349998,34.330002,
18786300.000000,PFE,34.520000,34.650002,34.360001,2017-03-03,34.520000,34.509998,
25521800.000000,PFE,34.509998,34.750000,34.419998,2017-03-02,34.509998,34.459999,
31914100.000000,PFE,34.419998,34.529999,34.049999,2017-03-01,34.419998,34.270000,
27151900.000000,PFE,34.119999,34.259998,33.910000,2017-02-28,34.119999,34.099998,
21745300.000000,PFE,34.279999,34.459999,34.160000,2017-02-27,34.279999,34.230000,
23718900.000000,PFE,34.259998,34.349998,33.990002,2017-02-24,34.259998,34.169998,
29925400.000000,PFE,34.060001,34.119999,33.580002,2017-02-23,34.060001,33.700001,
27190300.000000,PFE,33.590000,33.750000,33.250000,2017-02-22,33.590000,33.570000,
22503400.000000,PFE,33.619999,33.799999,33.480000,2017-02-21,33.619999,33.570000,
