Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
5661900.000000,PG,89.910004,89.959999,89.419998,2017-04-04,89.910004,89.750000,
6965900.000000,PG,89.680000,90.059998,89.449997,2017-04-03,89.680000,89.860001,
6933300.000000,PG,89.849998,90.339996,89.839996,2017-03-31,89.849998,90.029999,
3686400.000000,PG,90.199997,90.570000,90.099998,2017-03-30,90.199997,90.500000,
4199400.000000,PG,90.599998,90.870003,90.389999,2017-03-29,90.599998,90.559998,
7593400.000000,PG,90.760002,91.059998,90.129997,2017-03-28,90.760002,90.169998,
9868800.000000,PG,90.489998,90.720001,90.180000,2017-03-27,90.489998,90.449997,
9171300.000000,PG,90.570000,90.919998,90.209999,2017-03-24,90.570000,90.769997,
6433600.000000,PG,90.769997,91.459999,90.599998,2017-03-23,90.769997,90.910004,
7782700.000000,PG,90.989998,91.800003,90.750000,2017-03-22,90.989998,91.309998,
7885700.000000,PG,91.190002,91.750000,91.029999,2017-03-21,91.190002,91.300003,
7504700.000000,PG,91.220001,91.410004,90.940002,2017-03-20,91.220001,90.959999,
36378800.000000,PG,91.000000,92.000000,90.919998,2017-03-17,91.000000,91.449997,
6572800.000000,PG,91.440002,91.720001,91.099998,2017-03-16,91.440002,91.440002,
7713100.000000,PG,91.400002,91.779999,90.730003,2017-03-15,91.400002,91.000000,
6684200.000000,PG,91.000000,91.589996,90.820000,2017-03-14,91.000000,91.260002,
7073100.000000,PG,91.309998,91.489998,90.849998,2017-03-13,91.309998,91.059998,
6733300.000000,PG,91.070000,91.160004,90.650002,2017-03-10,91.070000,90.800003,
5587400.000000,PG,90.339996,90.489998,90.099998,2017-03-09,90.339996,90.139999,
5503700.000000,PG,90.139999,90.349998,89.760002,2017-03-08,90.139999,90.019997,
5236200.000000,PG,90.290001,90.489998,90.059998,2017-03-07,90.290001,90.139999,
6462800.000000,PG,90.370003,90.510002,89.589996,2017-03-06,90.370003,89.889999,
8334900.000000,PG,90.500000,90.910004,89.889999,2017-03-03,90.500000,90.910004,
7026300.000000,PG,90.910004,91.589996,90.879997,2017-03-02,90.910004,91.400002,
8747600.000000,PG,91.660004,91.889999,90.709999,2017-03-01,91.660004,91.050003,
10470400.000000,PG,91.070000,91.790001,90.650002,2017-02-28,91.070000,90.900002,
11640500.000000,PG,90.889999,90.910004,90.059998,2017-02-27,90.889999,90.529999,
6600100.000000,PG,91.050003,91.339996,90.669998,2017-02-24,91.050003,90.970001,
7574500.000000,PG,91.129997,91.800003,90.910004,2017-02-23,91.129997,91.610001,
6742700.000000,PG,91.440002,91.800003,91.250000,2017-02-22,91.440002,91.449997,
8160600.000000,PG,91.669998,91.800003,90.580002,2017-02-21,91.669998,90.580002,
12084400.000000,PG,91.089996,91.360001,90.449997,2017-02-17,91.089996,90.610001,
12404400.000000,PG,90.790001,91.120003,90.540001,2017-02-16,90.790001,90.919998,
25770700.000000,PG,91.120003,91.150002,89.809998,2017-02-15,91.120003,89.809998,
17199500.000000,PG,87.860001,88.220001,87.230003,2017-02-14,87.860001,88.000000,
6905100.000000,PG,88.309998,88.360001,87.639999,2017-02-13,88.309998,88.040001,
11057600.000000,PG,87.970001,88.730003,87.970001,2017-02-10,87.970001,88.559998,
9914100.000000,PG,88.669998,88.779999,88.029999,2017-02-09,88.669998,88.330002,
6815800.000000,PG,88.330002,88.339996,87.809998,2017-02-08,88.330002,88.070000,
6646100.000000,PG,88.010002,88.279999,87.480003,2017-02-07,88.010002,87.639999,
7483000.000000,PG,87.400002,87.790001,87.129997,2017-02-06,87.400002,87.500000,
7161900.000000,PG,87.410004,88.169998,87.389999,2017-02-03,87.410004,88.120003,
8997200.000000,PG,87.760002,88.349998,87.250000,2017-02-02,87.760002,87.610001,
8291000.000000,PG,87.330002,87.589996,86.750000,2017-02-01,87.330002,87.029999,
9712400.000000,PG,87.599998,87.660004,86.529999,2017-01-31,87.599998,86.629997,
7350000.000000,PG,86.750000,86.860001,86.500000,2017-01-30,86.750000,86.779999,
9332300.000000,PG,86.720001,86.849998,86.019997,2017-01-27,86.720001,86.449997,
6542300.000000,PG,86.599998,87.230003,86.589996,2017-01-26,86.599998,87.120003,
8082900.000000,PG,87.160004,87.900002,87.059998,2017-01-25,87.160004,87.839996,
8704700.000000,PG,87.860001,87.949997,87.220001,2017-01-24,87.860001,87.220001,
9408900.000000,PG,86.959999,87.349998,86.849998,2017-01-23,86.959999,87.089996,
22944400.000000,PG,87.449997,87.980003,86.419998,2017-01-20,87.449997,86.889999,
14074500.000000,PG,84.699997,85.000000,84.279999,2017-01-19,84.699997,84.629997,
10520400.000000,PG,84.930000,85.300003,84.589996,2017-01-18,84.930000,84.800003,
13145100.000000,PG,84.539999,85.580002,83.879997,2017-01-17,85.209999,83.900002,
6762800.000000,PG,83.349438,84.019997,83.440002,2017-01-13,84.010002,83.849998,
6545400.000000,PG,83.180769,83.879997,83.370003,2017-01-12,83.839996,83.709999,
9572300.000000,PG,83.091480,83.750000,83.279999,2017-01-11,83.750000,83.389999,
10918200.000000,PG,82.833522,84.430000,83.239998,2017-01-10,83.489998,84.339996,
10981100.000000,PG,83.736371,84.660004,83.750000,2017-01-09,84.400002,84.059998,
4799900.000000,PG,84.361414,85.250000,84.620003,2017-01-06,85.029999,84.940002,
6852400.000000,PG,84.391177,85.430000,84.379997,2017-01-05,85.059998,84.410004,
