Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
895200.000000,TRV,120.610001,120.790001,120.199997,2017-04-04,120.610001,120.639999,
1135500.000000,TRV,120.379997,120.809998,119.800003,2017-04-03,120.379997,120.570000,
1114300.000000,TRV,120.540001,121.000000,120.169998,2017-03-31,120.540001,120.930000,
1090700.000000,TRV,121.029999,121.260002,120.360001,2017-03-30,121.029999,120.360001,
1120900.000000,TRV,120.529999,121.580002,120.500000,2017-03-29,120.529999,121.510002,
1172500.000000,TRV,121.800003,121.889999,120.440002,2017-03-28,121.800003,120.760002,
1083400.000000,TRV,121.010002,121.110001,120.010002,2017-03-27,121.010002,120.169998,
1326100.000000,TRV,120.769997,121.410004,120.239998,2017-03-24,120.769997,121.379997,
1047900.000000,TRV,121.290001,122.279999,121.129997,2017-03-23,121.290001,121.639999,
994500.000000,TRV,122.029999,122.180000,121.169998,2017-03-22,122.029999,121.919998,
1224900.000000,TRV,121.690002,122.849998,121.400002,2017-03-21,121.690002,122.790001,
1429500.000000,TRV,122.360001,122.980003,122.010002,2017-03-20,122.360001,122.980003,
3094400.000000,TRV,123.139999,123.169998,122.169998,2017-03-17,123.139999,122.949997,
1162900.000000,TRV,122.739998,123.519997,122.279999,2017-03-16,122.739998,122.980003,
1071900.000000,TRV,122.989998,123.150002,122.309998,2017-03-15,122.989998,123.000000,
903600.000000,TRV,122.620003,122.849998,121.750000,2017-03-14,122.620003,121.769997,
1069100.000000,TRV,122.150002,122.919998,121.809998,2017-03-13,122.150002,122.540001,
1281600.000000,TRV,122.830002,122.860001,121.750000,2017-03-10,122.830002,122.320000,
1707300.000000,TRV,121.900002,122.300003,121.360001,2017-03-09,121.900002,121.650002,
2193500.000000,TRV,121.239998,122.760002,121.050003,2017-03-08,121.239998,122.349998,
1773900.000000,TRV,121.469996,122.629997,121.680000,2017-03-07,122.139999,122.629997,
2417900.000000,TRV,121.649009,124.279999,122.290001,2017-03-06,122.320000,124.029999,
1512900.000000,TRV,123.449078,125.160004,123.989998,2017-03-03,124.129997,124.519997,
1531400.000000,TRV,123.836938,125.489998,124.470001,2017-03-02,124.519997,125.489998,
2619600.000000,TRV,124.304361,125.160004,122.980003,2017-03-01,124.989998,123.809998,
1966000.000000,TRV,121.569446,122.959999,121.790001,2017-02-28,122.239998,122.050003,
914300.000000,TRV,121.370546,122.760002,121.610001,2017-02-27,122.040001,121.860001,
