Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
2879100.000000,UNH,164.970001,166.449997,164.789993,2017-04-04,164.970001,165.869995,
3471000.000000,UNH,165.589996,166.139999,164.250000,2017-04-03,165.589996,164.619995,
3438200.000000,UNH,164.009995,165.100006,163.750000,2017-03-31,164.009995,164.639999,
2988600.000000,UNH,164.990005,165.929993,163.460007,2017-03-30,164.990005,163.649994,
5883000.000000,UNH,163.440002,164.970001,162.740005,2017-03-29,163.440002,164.660004,
7304500.000000,UNH,165.350006,166.070007,163.839996,2017-03-28,165.350006,164.580002,
4378600.000000,UNH,164.600006,165.110001,163.309998,2017-03-27,164.600006,163.990005,
5210300.000000,UNH,165.000000,167.399994,164.350006,2017-03-24,165.000000,166.130005,
3944100.000000,UNH,165.289993,166.929993,164.770004,2017-03-23,165.289993,166.229996,
2978800.000000,UNH,167.029999,168.380005,165.630005,2017-03-22,167.029999,168.130005,
4928600.000000,UNH,167.699997,168.820007,167.059998,2017-03-21,167.699997,168.669998,
3826800.000000,UNH,168.000000,170.240005,167.919998,2017-03-20,168.000000,169.929993,
5590500.000000,UNH,169.699997,171.539993,169.589996,2017-03-17,169.699997,171.089996,
3113000.000000,UNH,171.300003,172.139999,170.220001,2017-03-16,171.300003,172.070007,
2714300.000000,UNH,171.779999,171.970001,169.289993,2017-03-15,171.779999,169.360001,
2522600.000000,UNH,169.059998,170.179993,168.500000,2017-03-14,169.059998,169.660004,
2951700.000000,UNH,170.210007,170.929993,169.550003,2017-03-13,170.210007,169.990005,
3590900.000000,UNH,169.979996,170.000000,168.059998,2017-03-10,169.979996,168.419998,
3631400.000000,UNH,168.009995,169.070007,167.740005,2017-03-09,168.009995,168.149994,
2048200.000000,UNH,167.910004,168.460007,166.800003,2017-03-08,167.910004,167.509995,
2702300.000000,UNH,167.675003,169.360001,167.929993,2017-03-07,168.300003,168.449997,
2576500.000000,UNH,168.073511,169.350006,167.130005,2017-03-06,168.699997,167.429993,
2254400.000000,UNH,167.575368,168.449997,166.619995,2017-03-03,168.199997,167.309998,
1889800.000000,UNH,166.688674,168.429993,166.960007,2017-03-02,167.309998,168.320007,
3514200.000000,UNH,167.316339,168.600006,166.350006,2017-03-01,167.940002,166.720001,
4382100.000000,UNH,164.765848,166.759995,164.899994,2017-02-28,165.380005,165.470001,
4071800.000000,UNH,164.765848,165.460007,162.809998,2017-02-27,165.380005,163.160004,
2715700.000000,UNH,162.454457,163.089996,161.740005,2017-02-24,163.059998,162.669998,
2459600.000000,UNH,161.996173,162.600006,160.690002,2017-02-23,162.600006,161.330002,
2725300.000000,UNH,159.973713,161.779999,159.639999,2017-02-22,160.570007,160.910004,
5419000.000000,UNH,159.973713,160.820007,157.520004,2017-02-21,160.570007,157.619995,
12033600.000000,UNH,157.034656,160.160004,156.490005,2017-02-17,157.619995,159.000000,
3191600.000000,UNH,163.042262,164.970001,162.330002,2017-02-16,163.649994,164.779999,
4537900.000000,UNH,163.679885,164.889999,162.580002,2017-02-15,164.289993,162.580002,
2969400.000000,UNH,162.524204,163.500000,161.250000,2017-02-14,163.130005,161.449997,
3275800.000000,UNH,161.388438,162.020004,160.690002,2017-02-13,161.990005,160.690002,
1905900.000000,UNH,160.153038,161.589996,160.100006,2017-02-10,160.750000,160.119995,
3056800.000000,UNH,159.844191,161.300003,159.559998,2017-02-09,160.440002,160.309998,
2339700.000000,UNH,159.714669,160.630005,159.410004,2017-02-08,160.309998,160.000000,
2942700.000000,UNH,159.933853,161.679993,159.539993,2017-02-07,160.529999,161.050003,
3479400.000000,UNH,159.913923,162.529999,160.220001,2017-02-06,160.509995,161.509995,
2762300.000000,UNH,161.268873,162.000000,160.210007,2017-02-03,161.869995,161.130005,
4714000.000000,UNH,160.162995,163.250000,160.259995,2017-02-02,160.759995,162.520004,
3718500.000000,UNH,162.105766,163.899994,162.029999,2017-02-01,162.710007,162.750000,
3037000.000000,UNH,161.498030,162.190002,160.009995,2017-01-31,162.100006,161.619995,
2784600.000000,UNH,161.488058,163.460007,161.309998,2017-01-30,162.089996,162.940002,
3110400.000000,UNH,162.384725,163.800003,162.619995,2017-01-27,162.990005,163.500000,
4202400.000000,UNH,162.145610,163.580002,161.250000,2017-01-26,162.750000,161.860001,
3605800.000000,UNH,160.641223,161.979996,160.350006,2017-01-25,161.240005,160.820007,
3514100.000000,UNH,159.834219,161.309998,159.100006,2017-01-24,160.429993,159.360001,
4062600.000000,UNH,158.479284,159.520004,156.559998,2017-01-23,159.070007,158.619995,
3579100.000000,UNH,158.070803,159.800003,157.809998,2017-01-20,158.660004,159.020004,
4976900.000000,UNH,158.110647,160.550003,157.240005,2017-01-19,158.699997,157.740005,
6591600.000000,UNH,157.154221,161.199997,156.089996,2017-01-18,157.740005,161.059998,
5475800.000000,UNH,160.063375,162.970001,157.509995,2017-01-17,160.660004,162.610001,
3183300.000000,UNH,161.199141,162.740005,161.410004,2017-01-13,161.800003,162.160004,
2555900.000000,UNH,161.757059,162.940002,160.889999,2017-01-12,162.360001,161.690002,
3330600.000000,UNH,161.288803,162.940002,160.610001,2017-01-11,161.889999,161.300003,
3500700.000000,UNH,160.979957,162.979996,160.500000,2017-01-10,161.580002,161.270004,
3040800.000000,UNH,161.348578,162.429993,160.779999,2017-01-09,161.949997,162.000000,
3081300.000000,UNH,161.806877,162.940002,161.110001,2017-01-06,162.410004,161.750000,
2961100.000000,UNH,161.577720,162.630005,161.509995,2017-01-05,162.179993,161.750000,
2695200.000000,UNH,161.308733,162.580002,159.740005,2017-01-04,161.910004,162.350006,
3539700.000000,UNH,160.850435,162.270004,159.149994,2017-01-03,161.449997,161.130005,
2855600.000000,UNH,159.445668,161.479996,159.850006,2016-12-30,160.039993,161.369995,
2476300.000000,UNH,160.441954,162.360001,160.389999,2016-12-29,161.039993,161.919998,
1669100.000000,UNH,160.840478,163.250000,161.320007,2016-12-28,161.440002,162.160004,
1344000.000000,UNH,162.036018,163.960007,162.449997,2016-12-27,162.639999,163.259995,
2044400.000000,UNH,162.424569,163.039993,160.550003,2016-12-23,163.029999,161.559998,
2741700.000000,UNH,160.979957,161.880005,160.270004,2016-12-22,161.580002,161.389999,
2767700.000000,UNH,160.730885,162.289993,159.619995,2016-12-21,161.330002,161.419998,
3131200.000000,UNH,160.989914,163.110001,161.410004,2016-12-20,161.589996,161.710007,
4732600.000000,UNH,160.940097,163.940002,161.220001,2016-12-19,161.539993,163.089996,
7605300.000000,UNH,163.331194,164.000000,161.190002,2016-12-16,163.940002,161.380005,
4422700.000000,UNH,160.023515,161.289993,159.429993,2016-12-15,160.619995,159.869995,
3885700.000000,UNH,159.266343,161.800003,158.720001,2016-12-14,159.860001,161.139999,
3868900.000000,UNH,159.943811,161.710007,160.070007,2016-12-13,160.539993,160.399994,
3471200.000000,UNH,158.897722,159.660004,157.750000,2016-12-12,159.490005,158.830002,
4007200.000000,UNH,159.525372,160.160004,157.710007,2016-12-09,160.119995,159.520004,
3407500.000000,UNH,158.728355,160.240005,158.000000,2016-12-08,159.320007,159.410004,
4552300.000000,UNH,158.808045,159.979996,156.350006,2016-12-07,159.399994,157.889999,
3216700.000000,UNH,156.735783,158.229996,156.259995,2016-12-06,157.320007,158.169998,
5854200.000000,UNH,157.044629,160.669998,156.229996,2016-12-05,157.630005,160.190002,
3480000.000000,UNH,160.133108,162.520004,160.559998,2016-12-02,160.729996,161.000000,
5250200.000000,UNH,160.342334,161.720001,159.119995,2016-12-01,160.940002,159.119995,
7142400.000000,UNH,157.732069,159.759995,157.070007,2016-11-30,158.320007,157.470001,
5827400.000000,UNH,156.382091,158.119995,155.179993,2016-11-29,157.589996,156.940002,
5029600.000000,UNH,150.944099,152.850006,150.000000,2016-11-28,152.110001,152.740005,
1664500.000000,UNH,151.638730,154.500000,152.610001,2016-11-25,152.809998,153.929993,
2697200.000000,UNH,152.363131,153.740005,150.960007,2016-11-23,153.539993,152.009995,
4992100.000000,UNH,151.092943,152.929993,150.559998,2016-11-22,152.259995,151.080002,
3867800.000000,UNH,149.257132,150.660004,148.559998,2016-11-21,150.410004,149.720001,
5664800.000000,UNH,148.304484,151.660004,149.399994,2016-11-18,149.449997,151.050003,
