Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
2963800.000000,UTX,112.989998,113.250000,112.239998,2017-04-04,112.989998,112.269997,
2123000.000000,UTX,111.930000,112.480003,111.239998,2017-04-03,111.930000,112.279999,
2476300.000000,UTX,112.209999,112.629997,111.849998,2017-03-31,112.209999,112.500000,
1478900.000000,UTX,112.449997,112.660004,111.849998,2017-03-30,112.449997,111.959999,
1983100.000000,UTX,112.059998,112.550003,111.910004,2017-03-29,112.059998,112.550003,
2995700.000000,UTX,112.739998,113.150002,111.320000,2017-03-28,112.739998,111.410004,
2485400.000000,UTX,111.830002,111.930000,110.449997,2017-03-27,111.830002,111.080002,
2226500.000000,UTX,111.800003,112.279999,111.330002,2017-03-24,111.800003,111.980003,
2287400.000000,UTX,111.839996,112.449997,111.559998,2017-03-23,111.839996,111.930000,
2122900.000000,UTX,111.930000,112.419998,111.419998,2017-03-22,111.930000,112.370003,
3550400.000000,UTX,112.160004,114.150002,111.980003,2017-03-21,112.160004,113.660004,
2958700.000000,UTX,113.510002,114.080002,112.830002,2017-03-20,113.510002,113.400002,
7398500.000000,UTX,113.449997,113.949997,112.269997,2017-03-17,113.449997,112.680000,
2896300.000000,UTX,112.339996,113.220001,111.949997,2017-03-16,112.339996,112.769997,
3102000.000000,UTX,113.080002,113.300003,111.870003,2017-03-15,113.080002,112.120003,
2194800.000000,UTX,111.830002,112.169998,111.550003,2017-03-14,111.830002,111.879997,
2643000.000000,UTX,112.309998,112.730003,111.959999,2017-03-13,112.309998,112.559998,
3217600.000000,UTX,112.139999,112.580002,111.290001,2017-03-10,112.139999,112.389999,
2919800.000000,UTX,111.930000,112.339996,107.050003,2017-03-09,111.930000,111.870003,
2581800.000000,UTX,111.750000,112.660004,111.650002,2017-03-08,111.750000,112.480003,
2429300.000000,UTX,112.279999,112.410004,111.500000,2017-03-07,112.279999,111.860001,
3763600.000000,UTX,111.660004,112.300003,111.540001,2017-03-06,111.660004,111.830002,
3108300.000000,UTX,112.339996,113.430000,112.169998,2017-03-03,112.339996,112.690002,
2869600.000000,UTX,112.690002,114.040001,112.629997,2017-03-02,112.690002,113.830002,
5046700.000000,UTX,113.680000,114.440002,113.459999,2017-03-01,113.680000,113.639999,
2929600.000000,UTX,112.550003,113.190002,112.339996,2017-02-28,112.550003,112.970001,
2718900.000000,UTX,112.809998,112.970001,112.029999,2017-02-27,112.809998,112.589996,
2639300.000000,UTX,112.459999,112.690002,111.750000,2017-02-24,112.459999,111.820000,
3463400.000000,UTX,112.089996,112.879997,111.970001,2017-02-23,112.089996,112.699997,
2203600.000000,UTX,112.660004,112.709999,111.720001,2017-02-22,112.660004,112.349998,
1912800.000000,UTX,112.500000,112.800003,112.040001,2017-02-21,112.500000,112.190002,
2492400.000000,UTX,112.150002,112.330002,111.610001,2017-02-17,112.150002,111.930000,
2789700.000000,UTX,112.070000,112.330002,111.809998,2017-02-16,112.070000,112.139999,
2600600.000000,UTX,111.910004,112.080002,111.059998,2017-02-15,111.910004,111.129997,
2771900.000000,UTX,110.909998,112.320000,111.449997,2017-02-14,111.570000,111.989998,
2830800.000000,UTX,111.357333,112.099998,111.419998,2017-02-13,112.019997,111.610001,
2679200.000000,UTX,110.393078,111.260002,110.080002,2017-02-10,111.050003,110.250000,
2654000.000000,UTX,109.438750,110.720001,110.000000,2017-02-09,110.089996,110.400002,
2072300.000000,UTX,109.746921,111.089996,110.349998,2017-02-08,110.400002,111.089996,
2774400.000000,UTX,110.591891,111.730003,110.970001,2017-02-07,111.250000,111.379997,
4229600.000000,UTX,110.025264,111.250000,109.680000,2017-02-06,110.680000,109.809998,
3411200.000000,UTX,109.001358,109.779999,108.500000,2017-02-03,109.650002,108.529999,
4714500.000000,UTX,107.718988,108.680000,106.849998,2017-02-02,108.360001,108.080002,
4670100.000000,UTX,107.540053,109.910004,107.900002,2017-02-01,108.180000,109.629997,
3945700.000000,UTX,109.021236,109.809998,108.389999,2017-01-31,109.669998,109.040001,
2909900.000000,UTX,108.524194,109.599998,108.250000,2017-01-30,109.169998,109.309998,
2830000.000000,UTX,109.051058,110.900002,109.610001,2017-01-27,109.699997,110.150002,
3996000.000000,UTX,109.707157,111.489998,109.529999,2017-01-26,110.360001,110.800003,
5054000.000000,UTX,110.303606,112.510002,108.779999,2017-01-25,110.959999,111.870003,
3240000.000000,UTX,110.949762,111.690002,110.339996,2017-01-24,111.610001,110.680000,
2296600.000000,UTX,109.687271,111.300003,109.980003,2017-01-23,110.339996,110.839996,
3134300.000000,UTX,110.134614,111.099998,110.029999,2017-01-20,110.790001,110.949997,
2828200.000000,UTX,110.074971,111.599998,110.019997,2017-01-19,110.730003,111.029999,
2600300.000000,UTX,109.766800,110.889999,109.820000,2017-01-18,110.419998,110.199997,
2240100.000000,UTX,109.319465,110.269997,109.400002,2017-01-17,109.970001,109.779999,
2880600.000000,UTX,109.567986,111.260002,109.849998,2017-01-13,110.220001,110.930000,
2644600.000000,UTX,110.164435,111.139999,109.709999,2017-01-12,110.820000,111.139999,
2746200.000000,UTX,110.343370,111.620003,110.580002,2017-01-11,111.000000,111.620003,
1800400.000000,UTX,110.601834,111.830002,111.059998,2017-01-10,111.260002,111.750000,
2434100.000000,UTX,110.840413,112.699997,111.269997,2017-01-09,111.500000,112.699997,
2622000.000000,UTX,111.884204,112.830002,111.059998,2017-01-06,112.550003,111.419998,
