Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
4851700.000000,V,88.779999,89.330002,88.660004,2017-04-04,88.779999,89.010002,
9110300.000000,V,89.360001,89.459999,88.400002,2017-04-03,89.360001,89.139999,
6416500.000000,V,88.870003,89.349998,88.870003,2017-03-31,88.870003,88.980003,
6208000.000000,V,89.010002,89.099998,88.599998,2017-03-30,89.010002,89.080002,
4614300.000000,V,89.180000,89.389999,88.559998,2017-03-29,89.180000,88.989998,
6982000.000000,V,89.120003,89.419998,88.489998,2017-03-28,89.120003,89.120003,
5197200.000000,V,88.949997,88.989998,88.070000,2017-03-27,88.949997,88.309998,
7542700.000000,V,89.190002,89.610001,88.970001,2017-03-24,89.190002,89.059998,
7550900.000000,V,88.860001,89.389999,88.419998,2017-03-23,88.860001,88.470001,
7817700.000000,V,88.519997,89.040001,87.849998,2017-03-22,88.519997,87.849998,
11037200.000000,V,88.059998,89.709999,88.000000,2017-03-21,88.059998,89.489998,
9255400.000000,V,89.180000,92.050003,88.970001,2017-03-20,89.180000,90.290001,
8568300.000000,V,90.239998,90.629997,90.169998,2017-03-17,90.239998,90.250000,
9144000.000000,V,90.040001,90.330002,89.470001,2017-03-16,90.040001,90.309998,
6232900.000000,V,89.919998,90.099998,89.410004,2017-03-15,89.919998,89.750000,
6009400.000000,V,89.550003,90.029999,89.239998,2017-03-14,89.550003,89.930000,
8868700.000000,V,90.110001,90.309998,89.610001,2017-03-13,90.110001,89.800003,
12246700.000000,V,89.730003,89.860001,89.099998,2017-03-10,89.730003,89.500000,
5897100.000000,V,89.110001,89.500000,88.709999,2017-03-09,89.110001,89.019997,
5810700.000000,V,88.959999,89.300003,88.870003,2017-03-08,88.959999,89.169998,
5644500.000000,V,89.059998,89.300003,88.849998,2017-03-07,89.059998,88.989998,
7308900.000000,V,88.940002,89.269997,88.269997,2017-03-06,88.940002,88.529999,
5700600.000000,V,88.790001,88.910004,88.180000,2017-03-03,88.790001,88.309998,
10518000.000000,V,88.529999,89.129997,88.099998,2017-03-02,88.529999,89.000000,
10135800.000000,V,88.989998,89.139999,88.419998,2017-03-01,88.989998,88.739998,
8512300.000000,V,87.940002,88.379997,87.760002,2017-02-28,87.940002,88.160004,
6104100.000000,V,88.000000,88.379997,87.910004,2017-02-27,88.000000,88.320000,
5123500.000000,V,88.430000,88.430000,87.300003,2017-02-24,88.430000,87.360001,
6021000.000000,V,88.180000,88.489998,87.870003,2017-02-23,88.180000,88.230003,
8374600.000000,V,87.800003,88.150002,87.510002,2017-02-22,87.800003,87.610001,
9067900.000000,V,87.919998,88.040001,87.169998,2017-02-21,87.919998,87.510002,
5880700.000000,V,87.459999,87.680000,86.980003,2017-02-17,87.459999,87.269997,
8667900.000000,V,87.410004,87.680000,86.790001,2017-02-16,87.410004,87.550003,
7985100.000000,V,87.540001,87.540001,86.699997,2017-02-15,87.540001,87.019997,
5952000.000000,V,86.684998,86.970001,86.260002,2017-02-14,86.849998,86.519997,
6046300.000000,V,86.275780,86.699997,86.000000,2017-02-13,86.440002,86.199997,
10432000.000000,V,85.736805,86.139999,85.230003,2017-02-10,85.900002,85.800003,
6554700.000000,V,85.417414,85.769997,84.879997,2017-02-09,85.580002,85.370003,
7587700.000000,V,84.928339,85.839996,85.080002,2017-02-08,85.089996,85.800003,
8600300.000000,V,85.617031,86.349998,85.669998,2017-02-07,85.779999,85.959999,
9665300.000000,V,85.666939,86.099998,85.510002,2017-02-06,85.830002,86.070000,
28079600.000000,V,85.916464,86.820000,85.110001,2017-02-03,86.080002,85.739998,
11142300.000000,V,82.143646,82.699997,81.570000,2017-02-02,82.300003,82.139999,
7534400.000000,V,82.283380,83.089996,82.050003,2017-02-01,82.440002,82.900002,
7479400.000000,V,82.552863,83.279999,82.099998,2017-01-31,82.709999,82.129997,
8792800.000000,V,83.540980,83.739998,82.660004,2017-01-30,83.699997,83.470001,
5445900.000000,V,83.610847,83.800003,82.919998,2017-01-27,83.769997,83.320000,
8428200.000000,V,83.081855,83.919998,83.080002,2017-01-26,83.239998,83.919998,
9360900.000000,V,83.740605,84.269997,83.449997,2017-01-25,83.900002,83.790001,
8397500.000000,V,83.071880,83.489998,81.849998,2017-01-24,83.230003,82.400002,
7414200.000000,V,81.993930,82.300003,81.500000,2017-01-23,82.150002,81.699997,
9048500.000000,V,81.684514,82.279999,81.610001,2017-01-20,81.839996,82.089996,
6479400.000000,V,81.574730,81.849998,81.410004,2017-01-19,81.730003,81.790001,
8512300.000000,V,81.434989,81.830002,80.980003,2017-01-18,81.589996,81.269997,
6326500.000000,V,81.105621,81.489998,80.760002,2017-01-17,81.260002,80.760002,
7291200.000000,V,81.015788,81.849998,80.790001,2017-01-13,81.169998,81.019997,
6884000.000000,V,81.215413,81.470001,80.510002,2017-01-12,81.370003,81.050003,
7499200.000000,V,81.644596,81.800003,80.910004,2017-01-11,81.800003,81.250000,
6017500.000000,V,81.155522,81.900002,81.129997,2017-01-10,81.309998,81.699997,
7284100.000000,V,81.594688,82.449997,81.650002,2017-01-09,81.750000,82.279999,
8898300.000000,V,82.053813,82.489998,80.940002,2017-01-06,82.209999,81.300003,
7805100.000000,V,80.935938,81.529999,80.220001,2017-01-05,81.089996,80.339996,
8033100.000000,V,79.997729,80.260002,79.360001,2017-01-04,80.150002,79.440002,
13785200.000000,V,79.348963,79.910004,78.489998,2017-01-03,79.500000,78.760002,
7127300.000000,V,77.871771,78.540001,77.940002,2016-12-30,78.019997,78.430000,
6241100.000000,V,78.181187,78.839996,78.300003,2016-12-29,78.330002,78.489998,
7587100.000000,V,78.151246,78.650002,77.970001,2016-12-28,78.300003,78.400002,
3776000.000000,V,78.201146,78.849998,78.230003,2016-12-27,78.349998,78.269997,
6192900.000000,V,78.001529,78.480003,77.900002,2016-12-23,78.150002,78.080002,
12074000.000000,V,77.752004,78.059998,77.190002,2016-12-22,77.900002,78.019997,
9343600.000000,V,77.991546,78.550003,77.980003,2016-12-21,78.139999,78.480003,
6917400.000000,V,78.211129,78.580002,77.690002,2016-12-20,78.360001,78.410004,
8699100.000000,V,77.951621,78.599998,78.019997,2016-12-19,78.099998,78.040001,
19141700.000000,V,78.201146,79.459999,78.169998,2016-12-16,78.349998,79.220001,
14070900.000000,V,79.348963,80.389999,79.129997,2016-12-15,79.500000,79.370003,
20146200.000000,V,78.979663,79.980003,79.120003,2016-12-14,79.129997,79.279999,
12995100.000000,V,79.049530,79.500000,78.250000,2016-12-13,79.199997,78.809998,
11942300.000000,V,78.350863,79.029999,77.919998,2016-12-12,78.500000,78.989998,
10728300.000000,V,78.989646,79.930000,78.830002,2016-12-09,79.139999,79.150002,
13320100.000000,V,79.129380,79.870003,78.970001,2016-12-08,79.279999,79.680000,
13919800.000000,V,79.159321,79.489998,77.250000,2016-12-07,79.309998,77.269997,
