Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
8952800.000000,VZ,48.728582,49.320000,48.880001,2017-04-04,49.310001,49.099998,
14307400.000000,VZ,48.600114,49.250000,48.590000,2017-04-03,49.180000,48.730000,
19299100.000000,VZ,48.175183,49.099998,48.750000,2017-03-31,48.750000,49.099998,
11623000.000000,VZ,48.481529,49.240002,48.900002,2017-03-30,49.060001,49.000000,
11160800.000000,VZ,48.550704,49.369999,49.029999,2017-03-29,49.130001,49.279999,
12856300.000000,VZ,48.718698,49.349998,48.669998,2017-03-28,49.299999,49.009998,
13270900.000000,VZ,48.560584,49.759998,48.919998,2017-03-27,49.139999,49.680000,
9310700.000000,VZ,49.094218,49.830002,49.500000,2017-03-24,49.680000,49.700001,
9644900.000000,VZ,49.054689,49.880001,49.419998,2017-03-23,49.639999,49.750000,
14950400.000000,VZ,49.123863,50.279999,49.410000,2017-03-22,49.709999,50.130001,
15196500.000000,VZ,49.568558,50.630001,50.119999,2017-03-21,50.160000,50.480000,
9456000.000000,VZ,49.647616,50.610001,50.139999,2017-03-20,50.240002,50.419998,
21071300.000000,VZ,49.795845,50.430000,50.020000,2017-03-17,50.389999,50.189999,
10861200.000000,VZ,49.449974,50.250000,49.849998,2017-03-16,50.040001,50.020000,
12660800.000000,VZ,49.548793,50.250000,49.259998,2017-03-15,50.139999,49.259998,
8496600.000000,VZ,48.777991,49.630001,49.250000,2017-03-14,49.360001,49.439999,
10488800.000000,VZ,48.886695,49.529999,49.130001,2017-03-13,49.470001,49.330002,
11181600.000000,VZ,48.768107,49.520000,49.099998,2017-03-10,49.349998,49.500000,
10590000.000000,VZ,48.698933,49.450001,49.080002,2017-03-09,49.279999,49.230000,
14206500.000000,VZ,48.580349,49.330002,48.900002,2017-03-08,49.160000,49.299999,
12896900.000000,VZ,48.857046,50.060001,49.360001,2017-03-07,49.439999,50.000000,
10827300.000000,VZ,49.440090,50.150002,49.840000,2017-03-06,50.029999,50.029999,
11071600.000000,VZ,49.499383,50.139999,49.799999,2017-03-03,50.090000,49.980000,
10773400.000000,VZ,49.390680,50.020000,49.599998,2017-03-02,49.980000,49.689999,
16095600.000000,VZ,49.222686,49.980000,49.369999,2017-03-01,49.810001,49.560001,
17699200.000000,VZ,49.044808,50.029999,49.410000,2017-02-28,49.630001,49.959999,
14029500.000000,VZ,49.351151,50.549999,49.799999,2017-02-27,49.939999,50.490002,
14357900.000000,VZ,50.003368,50.950001,50.279999,2017-02-24,50.599998,50.279999,
16212000.000000,VZ,49.716791,50.500000,49.669998,2017-02-23,50.310001,49.980000,
13653400.000000,VZ,49.084334,49.700001,49.480000,2017-02-22,49.669998,49.500000,
19206000.000000,VZ,48.847166,49.689999,49.230000,2017-02-21,49.430000,49.509998,
23190700.000000,VZ,48.609994,49.299999,48.130001,2017-02-17,49.189999,48.310001,
18706900.000000,VZ,47.888602,48.520000,47.889999,2017-02-16,48.459999,48.029999,
19297100.000000,VZ,47.513085,48.099998,47.799999,2017-02-15,48.080002,48.000000,
20847200.000000,VZ,47.700844,48.470001,47.990002,2017-02-14,48.270000,48.310001,
18305300.000000,VZ,47.977541,48.619999,48.080002,2017-02-13,48.549999,48.270000,
12317400.000000,VZ,48.402471,49.119999,48.689999,2017-02-10,48.980000,48.939999,
13577300.000000,VZ,48.234477,48.959999,48.369999,2017-02-09,48.810001,48.369999,
13962800.000000,VZ,47.799663,48.570000,48.099998,2017-02-08,48.369999,48.150002,
12771900.000000,VZ,47.473556,48.160000,47.799999,2017-02-07,48.040001,48.130001,
16151400.000000,VZ,47.463672,48.669998,47.939999,2017-02-06,48.029999,48.669998,
15166400.000000,VZ,48.007190,48.619999,48.330002,2017-02-03,48.580002,48.450001,
17787200.000000,VZ,47.710724,48.590000,47.900002,2017-02-02,48.279999,48.540001,
26004100.000000,VZ,47.819428,49.369999,48.250000,2017-02-01,48.389999,49.340000,
16844200.000000,VZ,48.432116,49.470001,48.930000,2017-01-31,49.009998,49.209999,
12148700.000000,VZ,48.787872,49.840000,49.180000,2017-01-30,49.369999,49.490002,
18369300.000000,VZ,49.015159,49.730000,49.270000,2017-01-27,49.599998,49.349998,
37877100.000000,VZ,48.540820,49.470001,48.509998,2017-01-26,49.119999,48.750000,
30398600.000000,VZ,49.183157,49.939999,48.840000,2017-01-25,49.770000,49.500000,
43484700.000000,VZ,49.529029,50.790001,49.790001,2017-01-24,50.119999,50.259998,
15695500.000000,VZ,51.792028,52.700001,52.180000,2017-01-23,52.410000,52.459999,
15473700.000000,VZ,52.098374,53.200001,52.560001,2017-01-20,52.720001,52.599998,
13286100.000000,VZ,51.742618,52.639999,52.180000,2017-01-19,52.360001,52.549999,
12930900.000000,VZ,51.633915,52.840000,52.209999,2017-01-18,52.250000,52.520000,
11383500.000000,VZ,52.118139,52.889999,52.500000,2017-01-17,52.740002,52.549999,
9458700.000000,VZ,51.930376,52.900002,52.410000,2017-01-13,52.549999,52.720001,
11052100.000000,VZ,52.058845,52.889999,52.270000,2017-01-12,52.680000,52.430000,
16142800.000000,VZ,51.841437,52.750000,52.240002,2017-01-11,52.459999,52.619999,
11787400.000000,VZ,52.137899,53.160000,52.020000,2017-01-10,52.759998,52.689999,
14095000.000000,VZ,52.058845,53.270000,52.669998,2017-01-09,52.680000,53.220001,
15615000.000000,VZ,52.632004,53.779999,53.099998,2017-01-06,53.259998,53.669998,
13840600.000000,VZ,53.424549,54.830002,54.299999,2017-01-05,54.639999,54.779999,
18316100.000000,VZ,53.307220,54.810001,54.330002,2017-01-04,54.520000,54.549999,
22891700.000000,VZ,53.365887,54.669998,53.730000,2017-01-03,54.580002,53.959999,
12440800.000000,VZ,52.192579,53.639999,53.169998,2016-12-30,53.380001,53.549999,
7150800.000000,VZ,52.544572,53.900002,53.509998,2016-12-29,53.740002,53.590000,
6849500.000000,VZ,52.251242,53.830002,53.369999,2016-12-28,53.439999,53.630001,
6255400.000000,VZ,52.446794,53.830002,53.439999,2016-12-27,53.639999,53.689999,
7201200.000000,VZ,52.485905,53.750000,53.439999,2016-12-23,53.680000,53.650002,
11101500.000000,VZ,52.456574,53.740002,52.720001,2016-12-22,53.650002,52.849998,
9656700.000000,VZ,51.791700,53.430000,52.970001,2016-12-21,52.970001,53.090000,
10366900.000000,VZ,51.938361,53.459999,52.930000,2016-12-20,53.119999,52.930000,
13407000.000000,VZ,51.733033,53.130001,52.090000,2016-12-19,52.910000,52.480000,
21262500.000000,VZ,51.107270,52.279999,51.860001,2016-12-16,52.270000,52.060001,
13963600.000000,VZ,50.657504,52.130001,51.250000,2016-12-15,51.810001,51.369999,
19920400.000000,VZ,50.481508,52.660000,51.410000,2016-12-14,51.630001,52.459999,
12211500.000000,VZ,51.195269,52.369999,52.060001,2016-12-13,52.360001,52.080002,
16186400.000000,VZ,50.608613,52.430000,51.480000,2016-12-12,51.759998,51.540001,
10101500.000000,VZ,50.344622,51.630001,50.919998,2016-12-09,51.490002,51.090000,
11502900.000000,VZ,49.992630,51.279999,50.980000,2016-12-08,51.130001,51.230000,
16280600.000000,VZ,50.237069,51.430000,50.439999,2016-12-07,51.380001,50.720001,
13581500.000000,VZ,49.239758,50.619999,49.759998,2016-12-06,50.360001,50.150002,
13074700.000000,VZ,48.643327,50.080002,49.740002,2016-12-05,49.750000,49.740002,
10650700.000000,VZ,48.701993,50.320000,49.599998,2016-12-02,49.810001,50.000000,
12982800.000000,VZ,48.760656,49.990002,49.310001,2016-12-01,49.869999,49.799999,
20698900.000000,VZ,48.789991,50.730000,49.900002,2016-11-30,49.900002,50.549999,
11532800.000000,VZ,49.826410,51.150002,50.770000,2016-11-29,50.959999,51.029999,
15982400.000000,VZ,49.982850,51.200001,50.450001,2016-11-28,51.119999,50.470001,
8087100.000000,VZ,49.542860,50.799999,50.169998,2016-11-25,50.669998,50.220001,
21456700.000000,VZ,49.112649,50.650002,49.290001,2016-11-23,50.230000,49.299999,
22030000.000000,VZ,48.389112,49.610001,48.369999,2016-11-22,49.490002,48.480000,
10773300.000000,VZ,47.235360,48.360001,47.919998,2016-11-21,48.310001,48.060001,
12820600.000000,VZ,47.000697,48.200001,47.570000,2016-11-18,48.070000,47.849998,
12436300.000000,VZ,46.775814,48.169998,47.810001,2016-11-17,47.840000,47.950001,
17328400.000000,VZ,46.863812,47.980000,47.320000,2016-11-16,47.930000,47.490002,
18672200.000000,VZ,46.316268,47.369999,46.380001,2016-11-15,47.369999,46.509998,
21820200.000000,VZ,45.152740,46.849998,46.009998,2016-11-14,46.180000,46.709999,
16371500.000000,VZ,45.651394,46.900002,46.509998,2016-11-11,46.689999,46.700001,
24311700.000000,VZ,45.651394,47.880001,46.360001,2016-11-10,46.689999,47.860001,
20871900.000000,VZ,46.795370,48.080002,46.470001,2016-11-09,47.860001,47.009998,
9436100.000000,VZ,46.590042,47.849998,47.470001,2016-11-08,47.650002,47.560001,
14705200.000000,VZ,46.404266,47.470001,46.939999,2016-11-07,47.459999,47.389999,
14410200.000000,VZ,46.032722,47.279999,46.889999,2016-11-04,47.080002,46.970001,
12605100.000000,VZ,45.827390,47.270000,46.790001,2016-11-03,46.869999,46.980000,
16488200.000000,VZ,45.895833,47.750000,46.860001,2016-11-02,46.939999,47.750000,
13229400.000000,VZ,46.599818,48.380001,47.529999,2016-11-01,47.660000,48.320000,
12459400.000000,VZ,47.030029,48.299999,48.049999,2016-10-31,48.099998,48.240002,
10660100.000000,VZ,47.137583,48.770000,48.099998,2016-10-28,48.209999,48.560001,
22330700.000000,VZ,47.460244,48.709999,47.630001,2016-10-27,48.540001,47.740002,
15049200.000000,VZ,46.570486,48.049999,47.580002,2016-10-26,47.630001,47.740002,
16441200.000000,VZ,46.775814,48.290001,47.790001,2016-10-25,47.840000,48.209999,
19414700.000000,VZ,47.137583,48.930000,48.130001,2016-10-24,48.209999,48.709999,
24785000.000000,VZ,47.127807,48.919998,47.950001,2016-10-21,48.200001,48.790001,
27098200.000000,VZ,48.046895,49.570000,48.900002,2016-10-20,49.139999,49.540001,
10364900.000000,VZ,49.259313,50.630001,50.349998,2016-10-19,50.380001,50.450001,
10873900.000000,VZ,49.151760,50.610001,50.049999,2016-10-18,50.270000,50.610001,
10724600.000000,VZ,49.308200,50.590000,50.049999,2016-10-17,50.430000,50.209999,
8853200.000000,VZ,49.161536,50.610001,50.270000,2016-10-14,50.279999,50.340000,
11156900.000000,VZ,49.171315,50.410000,49.820000,2016-10-13,50.290001,50.230000,
8880100.000000,VZ,49.181091,50.480000,49.939999,2016-10-12,50.299999,49.959999,
11737900.000000,VZ,48.789991,50.209999,49.650002,2016-10-11,49.900002,50.099998,
10687700.000000,VZ,49.073538,50.299999,49.630001,2016-10-10,50.189999,50.230000,
13816800.000000,VZ,48.809543,50.540001,49.919998,2016-10-07,49.919998,50.459999,
11724000.000000,VZ,49.141980,50.520000,49.970001,2016-10-06,50.259998,50.320000,
17190900.000000,VZ,49.151760,50.820000,50.029999,2016-10-05,50.270000,50.689999,
13753300.000000,VZ,49.554593,51.939999,51.000000,2016-10-04,51.259998,51.770000,
9120300.000000,VZ,50.153969,52.139999,51.599998,2016-10-03,51.880001,51.840000,
13077600.000000,VZ,50.250640,52.570000,51.959999,2016-09-30,51.980000,52.430000,
10804700.000000,VZ,50.385982,52.410000,51.770000,2016-09-29,52.119999,51.840000,
13279100.000000,VZ,50.327981,52.439999,51.810001,2016-09-28,52.060001,52.310001,
8259000.000000,VZ,50.743675,52.660000,52.000000,2016-09-27,52.490002,52.310001,
10559000.000000,VZ,50.414986,52.560001,52.020000,2016-09-26,52.150002,52.450001,
13014800.000000,VZ,50.811346,52.820000,52.150002,2016-09-23,52.560001,52.299999,
12751900.000000,VZ,50.608330,52.490002,52.000000,2016-09-22,52.349998,52.150002,
14434700.000000,VZ,50.144299,52.009998,51.250000,2016-09-21,51.869999,51.369999,
14006300.000000,VZ,49.564263,51.799999,51.130001,2016-09-20,51.270000,51.599998,
14578500.000000,VZ,49.496592,51.959999,51.020000,2016-09-19,51.200001,51.889999,
19932300.000000,VZ,50.153969,51.970001,51.619999,2016-09-16,51.880001,51.889999,
13007400.000000,VZ,50.250640,52.099998,51.119999,2016-09-15,51.980000,51.490002,
11941800.000000,VZ,49.776945,51.860001,51.299999,2016-09-14,51.490002,51.590000,
17602400.000000,VZ,49.738274,52.119999,51.150002,2016-09-13,51.450001,52.049999,
15678600.000000,VZ,50.821011,52.840000,51.709999,2016-09-12,52.570000,51.750000,
18258500.000000,VZ,50.095964,53.240002,51.770000,2016-09-09,51.820000,53.130001,
9005300.000000,VZ,51.816742,53.880001,53.430000,2016-09-08,53.599998,53.599998,
10612300.000000,VZ,51.923083,53.790001,53.279999,2016-09-07,53.709999,53.500000,
17235600.000000,VZ,51.729737,53.840000,52.830002,2016-09-06,53.509998,53.090000,
13275300.000000,VZ,51.120699,53.139999,52.520000,2016-09-02,52.880001,52.799999,
9988800.000000,VZ,50.811346,52.709999,52.040001,2016-09-01,52.560001,52.139999,
10390500.000000,VZ,50.588998,52.459999,52.080002,2016-08-31,52.330002,52.220001,
9161900.000000,VZ,50.530993,52.590000,52.029999,2016-08-30,52.270000,52.580002,
11960400.000000,VZ,50.753341,52.689999,52.160000,2016-08-29,52.500000,52.360001,
15105300.000000,VZ,50.337646,53.009998,51.900002,2016-08-26,52.070000,52.639999,
8680100.000000,VZ,50.995023,52.790001,52.330002,2016-08-25,52.750000,52.529999,
8900700.000000,VZ,50.782341,52.720001,52.169998,2016-08-24,52.529999,52.549999,
7775100.000000,VZ,50.879017,52.820000,52.459999,2016-08-23,52.630001,52.660000,
8183900.000000,VZ,50.801676,52.689999,52.169998,2016-08-22,52.549999,52.580002,
11991000.000000,VZ,50.705005,52.910000,52.160000,2016-08-19,52.450001,52.889999,
11204900.000000,VZ,51.111030,53.060001,52.520000,2016-08-18,52.869999,52.950001,
12930100.000000,VZ,51.401048,53.169998,52.380001,2016-08-17,53.169998,52.900002,
13933100.000000,VZ,51.004689,53.509998,52.730000,2016-08-16,52.759998,53.500000,
8250900.000000,VZ,51.826412,53.849998,53.529999,2016-08-15,53.610001,53.660000,
7655000.000000,VZ,51.865082,53.980000,53.520000,2016-08-12,53.650002,53.959999,
7824800.000000,VZ,52.068094,53.990002,53.740002,2016-08-11,53.860001,53.810001,
8875700.000000,VZ,52.019759,53.980000,53.590000,2016-08-10,53.810001,53.820000,
7906200.000000,VZ,51.874748,53.779999,53.330002,2016-08-09,53.660000,53.599998,
9830400.000000,VZ,51.807077,53.740002,53.400002,2016-08-08,53.590000,53.639999,
13460100.000000,VZ,51.855413,53.990002,53.330002,2016-08-05,53.639999,53.939999,
11309800.000000,VZ,52.135765,54.139999,53.830002,2016-08-04,53.930000,54.000000,
10429400.000000,VZ,52.106764,54.200001,53.630001,2016-08-03,53.900002,54.160000,
18428200.000000,VZ,52.203436,54.590000,53.720001,2016-08-02,54.000000,54.450001,
17434600.000000,VZ,52.686801,55.820000,54.369999,2016-08-01,54.500000,55.580002,
15508900.000000,VZ,53.566526,55.720001,54.970001,2016-07-29,55.410000,54.990002,
10672300.000000,VZ,53.034825,55.209999,54.639999,2016-07-28,54.860001,55.200001,
17074600.000000,VZ,53.479520,55.439999,54.439999,2016-07-27,55.320000,54.950001,
18753900.000000,VZ,52.986489,56.250000,54.689999,2016-07-26,54.810001,55.849998,
