Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
5514000.000000,WMT,72.010002,72.059998,71.529999,2017-04-04,72.010002,71.739998,
8232700.000000,WMT,71.830002,72.529999,71.779999,2017-04-03,71.830002,72.080002,
9870800.000000,WMT,72.080002,72.559998,71.230003,2017-03-31,72.080002,71.320000,
7984100.000000,WMT,71.589996,71.720001,70.639999,2017-03-30,71.589996,70.690002,
6928000.000000,WMT,70.739998,71.180000,70.309998,2017-03-29,70.739998,70.349998,
7189000.000000,WMT,70.320000,70.370003,69.330002,2017-03-28,70.320000,69.330002,
5776100.000000,WMT,69.660004,70.070000,69.360001,2017-03-27,69.660004,69.519997,
5771500.000000,WMT,69.610001,70.169998,69.529999,2017-03-24,69.610001,69.989998,
5995900.000000,WMT,69.860001,70.309998,69.750000,2017-03-23,69.860001,70.199997,
6420900.000000,WMT,70.250000,70.339996,69.720001,2017-03-22,70.250000,70.029999,
8713300.000000,WMT,69.900002,70.400002,69.690002,2017-03-21,69.900002,70.169998,
7069800.000000,WMT,69.980003,70.449997,69.709999,2017-03-20,69.980003,70.139999,
12826400.000000,WMT,69.889999,70.750000,69.809998,2017-03-17,69.889999,70.580002,
6855100.000000,WMT,70.440002,70.699997,70.070000,2017-03-16,70.440002,70.110001,
8387800.000000,WMT,70.580002,70.699997,70.019997,2017-03-15,70.580002,70.500000,
9934800.000000,WMT,70.720001,71.209999,70.720001,2017-03-14,70.720001,70.820000,
6658200.000000,WMT,69.949997,70.449997,69.709999,2017-03-13,69.949997,69.989998,
6724200.000000,WMT,70.099998,70.360001,69.800003,2017-03-10,70.099998,70.000000,
7564500.000000,WMT,69.860001,70.040001,69.559998,2017-03-09,69.860001,69.750000,
7979800.000000,WMT,69.800003,70.029999,69.540001,2017-03-08,69.800003,69.690002,
7282900.000000,WMT,69.360005,70.209999,69.860001,2017-03-07,69.870003,69.900002,
9182600.000000,WMT,69.369926,70.440002,69.779999,2017-03-06,69.879997,70.000000,
9297900.000000,WMT,69.518833,71.019997,69.879997,2017-03-03,70.029999,70.760002,
8916300.000000,WMT,70.243508,70.900002,70.169998,2017-03-02,70.760002,70.419998,
13522700.000000,WMT,69.935765,71.080002,70.150002,2017-03-01,70.449997,70.970001,
15952600.000000,WMT,70.412265,71.000000,70.000000,2017-02-28,70.930000,70.870003,
9254700.000000,WMT,71.216350,72.419998,71.529999,2017-02-27,71.739998,72.279999,
13889900.000000,WMT,71.861607,72.800003,71.300003,2017-02-24,72.389999,71.339996,
12799700.000000,WMT,70.789488,72.500000,71.160004,2017-02-23,71.309998,72.000000,
15242700.000000,WMT,71.186570,72.370003,71.480003,2017-02-22,71.709999,72.250000,
22412900.000000,WMT,70.928466,72.279999,70.699997,2017-02-21,71.449997,71.209999,
12837400.000000,WMT,68.863654,69.790001,68.690002,2017-02-17,69.370003,68.830002,
8413800.000000,WMT,68.367304,69.239998,68.610001,2017-02-16,68.870003,68.669998,
8563300.000000,WMT,68.188617,68.709999,67.760002,2017-02-15,68.690002,67.800003,
8462300.000000,WMT,68.158838,68.680000,67.709999,2017-02-14,68.660004,67.879997,
8374300.000000,WMT,67.275327,68.650002,67.559998,2017-02-13,67.769997,68.320000,
12445600.000000,WMT,67.523502,68.599998,67.760002,2017-02-10,68.019997,68.250000,
11080500.000000,WMT,68.575770,69.139999,67.750000,2017-02-09,69.080002,67.809998,
7660800.000000,WMT,67.315036,67.820000,66.889999,2017-02-08,67.809998,66.889999,
5805700.000000,WMT,66.401753,67.000000,66.510002,2017-02-07,66.889999,66.559998,
9097200.000000,WMT,65.915332,66.860001,66.370003,2017-02-06,66.400002,66.370003,
7625300.000000,WMT,66.014600,66.930000,66.440002,2017-02-03,66.500000,66.820000,
8998700.000000,WMT,66.213137,67.139999,66.339996,2017-02-02,66.699997,66.339996,
9050000.000000,WMT,65.746574,66.709999,66.040001,2017-02-01,66.230003,66.459999,
9320900.000000,WMT,66.252846,66.889999,65.879997,2017-01-31,66.739998,66.209999,
