Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
9214700.000000,XOM,82.370003,82.419998,81.330002,2017-04-04,82.370003,82.099998,
11431800.000000,XOM,82.070000,82.309998,81.349998,2017-04-03,82.070000,82.019997,
21705800.000000,XOM,82.010002,83.309998,81.860001,2017-03-31,82.010002,83.260002,
44656400.000000,XOM,83.699997,83.870003,81.940002,2017-03-30,83.699997,82.029999,
8350800.000000,XOM,82.019997,82.279999,81.550003,2017-03-29,82.019997,81.690002,
10710800.000000,XOM,81.839996,82.019997,80.959999,2017-03-28,81.839996,81.320000,
8445000.000000,XOM,81.250000,81.430000,80.790001,2017-03-27,81.250000,80.820000,
8965100.000000,XOM,81.230003,82.029999,81.150002,2017-03-24,81.230003,82.029999,
8722100.000000,XOM,81.860001,82.220001,81.459999,2017-03-23,81.860001,81.629997,
11127300.000000,XOM,81.760002,82.089996,81.430000,2017-03-22,81.760002,81.959999,
12946500.000000,XOM,81.830002,82.349998,81.599998,2017-03-21,81.830002,82.160004,
7293700.000000,XOM,82.000000,82.040001,81.440002,2017-03-20,82.000000,81.720001,
18575600.000000,XOM,82.000000,82.260002,81.820000,2017-03-17,82.000000,82.029999,
9825000.000000,XOM,82.070000,82.199997,81.669998,2017-03-16,82.070000,82.029999,
11131100.000000,XOM,82.000000,82.059998,81.050003,2017-03-15,82.000000,81.349998,
11181500.000000,XOM,80.989998,81.230003,80.440002,2017-03-14,80.989998,81.000000,
9414200.000000,XOM,81.419998,81.940002,81.050003,2017-03-13,81.419998,81.500000,
11301000.000000,XOM,81.610001,82.470001,81.160004,2017-03-10,81.610001,82.440002,
14506200.000000,XOM,81.669998,81.720001,80.309998,2017-03-09,81.669998,80.639999,
16380500.000000,XOM,81.029999,82.379997,81.010002,2017-03-08,81.029999,82.349998,
12470300.000000,XOM,82.519997,83.290001,82.139999,2017-03-07,82.519997,83.110001,
9530200.000000,XOM,82.830002,82.900002,82.330002,2017-03-06,82.830002,82.440002,
12190400.000000,XOM,82.459999,83.599998,82.260002,2017-03-03,82.459999,83.300003,
14145600.000000,XOM,83.300003,84.250000,82.790001,2017-03-02,83.300003,82.800003,
16968700.000000,XOM,83.019997,83.330002,81.699997,2017-03-01,83.019997,81.699997,
16694500.000000,XOM,81.320000,81.989998,81.050003,2017-02-28,81.320000,81.529999,
13416300.000000,XOM,81.540001,81.709999,80.809998,2017-02-27,81.540001,81.129997,
11255600.000000,XOM,81.080002,81.800003,80.760002,2017-02-24,81.080002,81.599998,
13802700.000000,XOM,81.779999,82.220001,81.029999,2017-02-23,81.779999,81.419998,
12816000.000000,XOM,80.930000,81.699997,80.870003,2017-02-22,80.930000,81.650002,
16140800.000000,XOM,81.889999,82.150002,81.300003,2017-02-21,81.889999,82.120003,
15626600.000000,XOM,81.760002,82.190002,81.440002,2017-02-17,81.760002,82.089996,
10590100.000000,XOM,82.300003,83.419998,82.169998,2017-02-16,82.300003,83.120003,
